Timestamp,Data
2023-07-27 11:28:57.430723,========================================
2023-07-27 11:28:57.431567,Calculating gyro offsets
2023-07-27 11:29:00.658401,DO NOT MOVE MPU6050...
2023-07-27 11:29:00.659319,Done!
2023-07-27 11:29:00.662404,X : -2.58
2023-07-27 11:29:00.663320,Y : -0.24
2023-07-27 11:29:00.663320,Z : -0.64
2023-07-27 11:29:00.667327,Program will start after 3 seconds
2023-07-27 11:29:03.669018,========================================
2023-07-27 11:29:03.669985,roll	pitch
2023-07-27 11:29:03.672942,-0.02	-0.01
2023-07-27 11:29:03.684880,-0.10	0.11
2023-07-27 11:29:03.700933,-0.50	-0.08
2023-07-27 11:29:03.713958,-0.73	-0.16
2023-07-27 11:29:03.725521,-0.85	-0.27
2023-07-27 11:29:03.742494,-0.89	-0.22
2023-07-27 11:29:03.755493,-0.89	-0.11
2023-07-27 11:29:03.770575,-0.93	-0.09
2023-07-27 11:29:03.783659,-0.89	-0.06
2023-07-27 11:29:03.795660,-0.88	-0.10
2023-07-27 11:29:03.812501,-0.70	-0.19
2023-07-27 11:29:03.823847,-0.70	-0.24
2023-07-27 11:29:03.840907,-0.82	-0.18
2023-07-27 11:29:03.852920,-0.78	-0.07
2023-07-27 11:29:03.864957,-0.75	-0.15
2023-07-27 11:29:03.881886,-0.70	-0.05
2023-07-27 11:29:03.893839,-0.81	-0.09
2023-07-27 11:29:03.909973,-0.84	-0.05
2023-07-27 11:29:03.922633,-0.89	-0.17
2023-07-27 11:29:03.934597,-0.87	-0.08
2023-07-27 11:29:03.951595,-0.92	-0.12
2023-07-27 11:29:03.963622,-0.73	-0.18
2023-07-27 11:29:03.979779,-0.61	-0.13
2023-07-27 11:29:03.992595,-0.73	-0.11
2023-07-27 11:29:04.004727,-0.78	-0.05
2023-07-27 11:29:04.021024,-0.79	0.06
2023-07-27 11:29:04.033049,-0.69	-0.15
2023-07-27 11:29:04.049082,-0.78	-0.10
2023-07-27 11:29:04.061952,-0.76	-0.13
2023-07-27 11:29:04.073933,-0.83	-0.23
2023-07-27 11:29:04.089934,-0.84	-0.12
2023-07-27 11:29:04.102989,-0.75	0.01
2023-07-27 11:29:04.119102,-0.81	0.03
2023-07-27 11:29:04.131123,-0.75	-0.13
2023-07-27 11:29:04.144197,-0.79	-0.05
2023-07-27 11:29:04.160050,-0.80	-0.05
2023-07-27 11:29:04.172053,-0.82	-0.09
2023-07-27 11:29:04.189050,-0.82	-0.04
2023-07-27 11:29:04.201051,-0.94	-0.10
2023-07-27 11:29:04.213172,-0.83	-0.07
2023-07-27 11:29:04.229741,-0.81	-0.09
2023-07-27 11:29:04.242721,-0.80	-0.14
2023-07-27 11:29:04.258724,-0.78	-0.05
2023-07-27 11:29:04.270847,-0.78	-0.05
2023-07-27 11:29:04.282871,-0.79	0.03
2023-07-27 11:29:04.299821,-0.75	-0.02
2023-07-27 11:29:04.311841,-0.81	-0.05
2023-07-27 11:29:04.328271,-0.82	0.02
2023-07-27 11:29:04.340289,-0.86	-0.15
2023-07-27 11:29:04.352247,-0.81	-0.08
2023-07-27 11:29:04.369250,-0.79	-0.12
2023-07-27 11:29:04.381373,-0.80	-0.10
2023-07-27 11:29:04.397356,-0.80	-0.13
2023-07-27 11:29:04.410444,-0.85	-0.14
2023-07-27 11:29:04.422561,-0.76	-0.11
2023-07-27 11:29:04.438537,-0.71	0.03
2023-07-27 11:29:04.451535,-0.84	-0.03
2023-07-27 11:29:04.467546,-0.87	-0.14
2023-07-27 11:29:04.479703,-0.78	-0.07
2023-07-27 11:29:04.495554,-0.81	-0.10
2023-07-27 11:29:04.508554,-0.88	-0.17
2023-07-27 11:29:04.520148,-0.83	-0.03
2023-07-27 11:29:04.537231,-0.87	0.05
2023-07-27 11:29:04.549155,-0.82	0.04
2023-07-27 11:29:04.565152,-0.81	-0.13
2023-07-27 11:29:04.578251,-0.77	-0.08
2023-07-27 11:29:04.590148,-0.70	-0.10
2023-07-27 11:29:04.606156,-0.75	-0.07
2023-07-27 11:29:04.618302,-0.90	-0.04
2023-07-27 11:29:04.634601,-0.88	-0.12
2023-07-27 11:29:04.647603,-0.77	-0.11
2023-07-27 11:29:04.659521,-0.75	-0.08
2023-07-27 11:29:04.676572,-0.79	-0.05
2023-07-27 11:29:04.688610,-0.77	-0.03
2023-07-27 11:29:04.704639,-0.82	-0.00
2023-07-27 11:29:04.716691,-0.82	0.10
2023-07-27 11:29:04.729369,-0.78	-0.07
2023-07-27 11:29:04.746281,-0.80	-0.14
2023-07-27 11:29:04.758215,-0.74	-0.14
2023-07-27 11:29:04.774224,-0.75	-0.19
2023-07-27 11:29:04.787216,-0.77	-0.16
2023-07-27 11:29:04.799355,-0.81	-0.07
2023-07-27 11:29:04.815436,-0.81	0.01
2023-07-27 11:29:04.827563,-0.83	-0.14
2023-07-27 11:29:04.844481,-0.80	-0.02
2023-07-27 11:29:04.856476,-0.79	0.05
2023-07-27 11:29:04.868478,-0.82	0.10
2023-07-27 11:29:04.885476,-0.73	0.13
2023-07-27 11:29:04.897480,-0.83	0.04
2023-07-27 11:29:04.913488,-0.77	-0.01
2023-07-27 11:29:04.926007,-0.76	-0.11
2023-07-27 11:29:04.938003,-0.74	-0.18
2023-07-27 11:29:04.955049,-0.74	-0.19
2023-07-27 11:29:04.967006,-0.80	-0.10
2023-07-27 11:29:04.983128,-0.76	0.00
2023-07-27 11:29:04.996090,-0.81	0.06
2023-07-27 11:29:05.008141,-0.80	-0.00
2023-07-27 11:29:05.024652,-0.76	0.04
2023-07-27 11:29:05.036538,-0.76	-0.04
2023-07-27 11:29:05.052537,-0.72	0.09
2023-07-27 11:29:05.065697,-0.75	-0.08
2023-07-27 11:29:05.077673,-0.78	-0.14
2023-07-27 11:29:05.093651,-0.75	-0.23
2023-07-27 11:29:05.106622,-0.76	-0.11
2023-07-27 11:29:05.122751,-0.74	-0.28
2023-07-27 11:29:05.134752,-0.79	-0.04
2023-07-27 11:29:05.147041,-0.74	-0.00
2023-07-27 11:29:05.163991,-0.75	0.04
2023-07-27 11:29:05.176016,-0.84	0.14
2023-07-27 11:29:05.191901,-0.77	0.05
2023-07-27 11:29:05.204342,-0.76	0.07
2023-07-27 11:29:05.216688,-0.73	-0.03
2023-07-27 11:29:05.233061,-0.73	-0.07
2023-07-27 11:29:05.245941,-0.69	-0.12
2023-07-27 11:29:05.262077,-0.80	-0.20
2023-07-27 11:29:05.274017,-0.70	-0.27
2023-07-27 11:29:05.286061,-0.77	-0.21
2023-07-27 11:29:05.303156,-0.84	-0.16
2023-07-27 11:29:05.315354,-0.91	0.04
2023-07-27 11:29:05.331719,-0.87	0.12
2023-07-27 11:29:05.343837,3.07	6.74
2023-07-27 11:29:05.355715,2.12	12.01
2023-07-27 11:29:05.372719,-1.18	7.99
2023-07-27 11:29:05.384723,-2.52	3.01
2023-07-27 11:29:05.400723,-5.30	11.13
2023-07-27 11:29:05.413813,-0.74	6.91
2023-07-27 11:29:05.425530,3.78	7.79
2023-07-27 11:29:05.442491,-3.29	5.79
2023-07-27 11:29:05.454551,-2.60	8.81
2023-07-27 11:29:05.470535,0.47	6.29
2023-07-27 11:29:05.483468,-2.84	-1.76
2023-07-27 11:29:05.495666,0.69	-3.32
2023-07-27 11:29:05.511677,2.57	-0.41
2023-07-27 11:29:05.524258,-0.44	-5.12
2023-07-27 11:29:05.540153,-1.51	-8.18
2023-07-27 11:29:05.553156,-2.83	-6.76
2023-07-27 11:29:05.565157,-0.20	-4.50
2023-07-27 11:29:05.581157,-1.70	-6.71
2023-07-27 11:29:05.594155,-1.56	-3.47
2023-07-27 11:29:05.610277,-0.95	-0.05
2023-07-27 11:29:05.622891,2.83	-2.07
2023-07-27 11:29:05.634890,1.06	-2.58
2023-07-27 11:29:05.650890,-2.86	0.86
2023-07-27 11:29:05.663000,-3.68	3.05
2023-07-27 11:29:05.679952,-2.01	5.97
2023-07-27 11:29:05.691887,-2.51	6.50
2023-07-27 11:29:05.703888,-0.38	7.53
2023-07-27 11:29:05.720586,-2.07	6.44
2023-07-27 11:29:05.732504,-1.35	3.33
2023-07-27 11:29:05.749579,-1.64	2.67
2023-07-27 11:29:05.761624,-0.23	0.25
2023-07-27 11:29:05.773504,-1.41	-1.22
2023-07-27 11:29:05.790584,-0.67	-6.24
2023-07-27 11:29:05.802506,-0.01	-4.46
2023-07-27 11:29:05.818516,0.24	-4.15
2023-07-27 11:29:05.830880,-2.16	-1.08
2023-07-27 11:29:05.843839,-3.44	0.42
2023-07-27 11:29:05.860005,-0.66	1.98
2023-07-27 11:29:05.872089,-0.15	6.55
2023-07-27 11:29:05.888376,-1.67	10.50
2023-07-27 11:29:05.900282,-2.56	8.68
2023-07-27 11:29:05.913468,-6.07	6.24
2023-07-27 11:29:05.929329,-3.52	6.75
2023-07-27 11:29:05.941350,-5.28	8.25
2023-07-27 11:29:05.958430,-3.38	7.84
2023-07-27 11:29:05.970347,-2.05	4.50
2023-07-27 11:29:05.982477,-2.50	-0.50
2023-07-27 11:29:05.999449,-2.98	-2.63
2023-07-27 11:29:06.011633,-1.87	-1.29
2023-07-27 11:29:06.027835,-3.10	-2.76
2023-07-27 11:29:06.040051,-1.37	-5.96
2023-07-27 11:29:06.051989,-3.87	-9.25
2023-07-27 11:29:06.068986,-8.71	-14.15
2023-07-27 11:29:06.081013,-2.48	-5.62
2023-07-27 11:29:06.096986,-0.80	-1.27
2023-07-27 11:29:06.110064,-4.15	-3.49
2023-07-27 11:29:06.121707,-3.16	1.79
2023-07-27 11:29:06.138632,-4.29	4.73
2023-07-27 11:29:06.150634,-4.84	5.16
2023-07-27 11:29:06.166636,-5.94	3.21
2023-07-27 11:29:06.179721,-4.87	1.76
2023-07-27 11:29:06.191686,-2.54	2.37
2023-07-27 11:29:06.207653,-2.42	-0.60
2023-07-27 11:29:06.220168,-2.85	-1.96
2023-07-27 11:29:06.236251,-2.44	-1.79
2023-07-27 11:29:06.249274,-2.97	-1.42
2023-07-27 11:29:06.261277,-2.81	-1.10
2023-07-27 11:29:06.277350,-2.80	-2.71
2023-07-27 11:29:06.290252,-2.50	-2.52
2023-07-27 11:29:06.306375,-2.38	-1.82
2023-07-27 11:29:06.318244,-3.49	-3.74
2023-07-27 11:29:06.330969,-2.08	-1.73
2023-07-27 11:29:06.346954,-2.18	0.42
2023-07-27 11:29:06.359944,-2.56	2.58
2023-07-27 11:29:06.376069,-3.68	4.50
2023-07-27 11:29:06.388317,-3.43	5.36
2023-07-27 11:29:06.400318,-2.48	3.53
2023-07-27 11:29:06.416569,-2.77	3.19
2023-07-27 11:29:06.429671,-3.14	2.73
2023-07-27 11:29:06.445792,-3.65	1.21
2023-07-27 11:29:06.458669,-2.47	-0.54
2023-07-27 11:29:06.469763,-1.77	-0.36
2023-07-27 11:29:06.486764,-2.14	-0.26
2023-07-27 11:29:06.499143,-2.92	0.12
2023-07-27 11:29:06.515161,-2.77	-0.39
2023-07-27 11:29:06.527811,-2.45	-0.18
2023-07-27 11:29:06.539727,-1.77	0.59
2023-07-27 11:29:06.556603,-2.20	1.15
2023-07-27 11:29:06.568651,-2.82	1.28
2023-07-27 11:29:06.584690,-2.73	1.25
2023-07-27 11:29:06.596748,-2.43	1.08
2023-07-27 11:29:06.609741,-2.35	0.82
2023-07-27 11:29:06.625960,-2.41	0.56
2023-07-27 11:29:06.637978,-2.46	0.31
2023-07-27 11:29:06.653959,-2.28	-0.09
2023-07-27 11:29:06.666966,-2.06	-0.39
2023-07-27 11:29:06.679052,-1.93	-0.70
2023-07-27 11:29:06.695957,-2.08	-0.89
2023-07-27 11:29:06.708045,-2.07	-1.06
2023-07-27 11:29:06.724193,-1.99	-1.16
2023-07-27 11:29:06.736183,-1.97	-1.12
2023-07-27 11:29:06.749199,-1.93	-0.92
2023-07-27 11:29:06.765216,-2.04	-0.71
2023-07-27 11:29:06.777199,-1.91	-0.44
2023-07-27 11:29:06.794131,-1.91	-0.12
2023-07-27 11:29:06.806288,-1.86	0.21
2023-07-27 11:29:06.818243,-1.86	0.31
2023-07-27 11:29:06.834359,-1.81	0.37
2023-07-27 11:29:06.847406,-1.75	0.52
2023-07-27 11:29:06.863462,-1.79	0.43
2023-07-27 11:29:06.875404,-1.71	0.55
2023-07-27 11:29:06.888360,-1.58	0.32
2023-07-27 11:29:06.904369,-1.58	0.45
2023-07-27 11:29:06.916528,-1.54	0.48
2023-07-27 11:29:06.933106,-1.56	0.54
2023-07-27 11:29:06.945244,-1.57	0.71
2023-07-27 11:29:06.958099,-1.57	0.73
2023-07-27 11:29:06.974213,-1.49	0.90
2023-07-27 11:29:06.986530,-1.53	0.85
2023-07-27 11:29:07.002630,-1.58	0.80
2023-07-27 11:29:07.014584,-1.65	1.53
2023-07-27 11:29:07.027022,-2.09	5.78
2023-07-27 11:29:07.043339,-2.97	10.49
2023-07-27 11:29:07.055603,-0.97	14.88
2023-07-27 11:29:07.072699,-0.69	11.07
2023-07-27 11:29:07.084701,-1.78	8.82
2023-07-27 11:29:07.096821,-6.21	2.87
2023-07-27 11:29:07.113754,-4.72	3.82
2023-07-27 11:29:07.125090,-1.72	3.57
2023-07-27 11:29:07.142110,1.80	-0.09
2023-07-27 11:29:07.154091,0.81	-2.17
2023-07-27 11:29:07.166091,-1.44	-3.95
