Timestamp,Data
2023-07-27 11:59:03.752899,========================================
2023-07-27 11:59:03.752899,Calculating gyro offsets
2023-07-27 11:59:06.979783,DO NOT MOVE MPU6050...
2023-07-27 11:59:06.980694,Done!
2023-07-27 11:59:06.980694,X : -2.54
2023-07-27 11:59:06.984806,Y : -0.15
2023-07-27 11:59:06.984806,Z : -0.24
2023-07-27 11:59:06.988887,Program will start after 3 seconds
2023-07-27 11:59:09.990028,========================================
2023-07-27 11:59:09.991039,roll	pitch
2023-07-27 11:59:09.994048,-6.65	0.30
2023-07-27 11:59:10.007199,-18.19	-0.84
2023-07-27 11:59:10.019117,-29.66	-1.68
2023-07-27 11:59:10.035121,-33.34	-1.44
2023-07-27 11:59:10.048098,-32.68	-0.83
2023-07-27 11:59:10.064097,-32.11	-0.40
2023-07-27 11:59:10.076313,-32.68	-0.15
2023-07-27 11:59:10.088458,-32.92	0.08
2023-07-27 11:59:10.104666,-31.52	0.64
2023-07-27 11:59:10.117182,-29.25	1.35
2023-07-27 11:59:10.134204,-27.26	1.95
2023-07-27 11:59:10.146275,-26.59	2.16
2023-07-27 11:59:10.162276,-26.90	2.38
2023-07-27 11:59:10.175182,-27.07	2.44
2023-07-27 11:59:10.187180,-26.29	2.57
2023-07-27 11:59:10.203206,-25.07	2.47
2023-07-27 11:59:10.215754,-24.17	2.25
2023-07-27 11:59:10.231752,-23.87	2.01
2023-07-27 11:59:10.244754,-23.75	1.68
2023-07-27 11:59:10.256783,-23.27	1.20
2023-07-27 11:59:10.272771,-22.41	0.92
2023-07-27 11:59:10.285753,-21.58	0.59
2023-07-27 11:59:10.301962,-21.27	0.30
2023-07-27 11:59:10.314494,-21.08	0.09
2023-07-27 11:59:10.327495,-20.76	-0.06
2023-07-27 11:59:10.342497,-20.16	-0.09
2023-07-27 11:59:10.354599,-19.45	-0.11
2023-07-27 11:59:10.371607,-18.83	0.10
2023-07-27 11:59:10.383496,-18.29	0.27
2023-07-27 11:59:10.399772,-17.89	0.58
2023-07-27 11:59:10.411981,-17.65	0.71
2023-07-27 11:59:10.425105,-17.53	0.82
2023-07-27 11:59:10.441099,-17.40	1.05
2023-07-27 11:59:10.453227,-17.29	1.10
2023-07-27 11:59:10.469230,-17.08	1.17
2023-07-27 11:59:10.482097,-16.79	1.23
2023-07-27 11:59:10.494237,-15.80	1.29
2023-07-27 11:59:10.510057,-14.67	1.47
2023-07-27 11:59:10.523058,-13.80	1.61
2023-07-27 11:59:10.539058,-13.73	1.78
2023-07-27 11:59:10.551191,-14.03	1.89
2023-07-27 11:59:10.563665,-14.04	1.80
2023-07-27 11:59:10.580586,-13.80	1.93
2023-07-27 11:59:10.592760,-13.21	2.05
2023-07-27 11:59:10.608573,-12.78	2.09
2023-07-27 11:59:10.621517,-12.54	2.02
2023-07-27 11:59:10.637528,-12.41	1.97
2023-07-27 11:59:10.649669,-12.25	1.90
2023-07-27 11:59:10.661780,-11.89	1.83
2023-07-27 11:59:10.678780,-11.35	1.71
2023-07-27 11:59:10.690780,-11.03	1.61
2023-07-27 11:59:10.707311,-10.87	1.49
2023-07-27 11:59:10.719322,-10.80	1.37
2023-07-27 11:59:10.731318,-10.54	1.24
2023-07-27 11:59:10.748551,-10.18	1.21
2023-07-27 11:59:10.760555,-9.76	1.25
2023-07-27 11:59:10.776550,-9.51	1.18
2023-07-27 11:59:10.789550,-9.35	1.30
2023-07-27 11:59:10.801693,-9.30	1.42
2023-07-27 11:59:10.817671,-8.99	1.53
2023-07-27 11:59:10.829525,-8.61	1.72
2023-07-27 11:59:10.845951,-8.58	1.70
2023-07-27 11:59:10.858880,-8.17	3.15
2023-07-27 11:59:10.870989,-7.60	10.59
2023-07-27 11:59:10.887874,-10.07	13.23
2023-07-27 11:59:10.899962,-7.31	14.90
2023-07-27 11:59:10.915807,-7.81	12.02
2023-07-27 11:59:10.928687,-8.38	12.66
2023-07-27 11:59:10.940814,-9.25	12.42
2023-07-27 11:59:10.956830,-5.84	11.48
2023-07-27 11:59:10.969687,-10.29	9.90
