Timestamp,Data
2023-07-31 16:46:57.865446,2143992659-222-1403-50
2023-07-31 16:46:57.866448,2113992655-229-1404-52
2023-07-31 16:46:57.867455,2043993655-247-1405-49
2023-07-31 16:46:57.868445,2073992668-2518652-249-1407-48
2023-07-31 16:46:57.868445,2093990663-234-1405-49
2023-07-31 16:46:57.869443,2143992659-222-1403-50
2023-07-31 16:46:57.870449,2113992655-229-1404-52
2023-07-31 16:46:57.871450,2043993655-247-1405-49
2023-07-31 16:46:58.572983,2073992668-251AcX	AcY	AcZ	GyX	GyY	GyZ
2023-07-31 16:46:58.596952,2183992689-196319-75
2023-07-31 16:46:58.621685,2183989690-187344-74
2023-07-31 16:46:58.642595,2203991688-181362-74
2023-07-31 16:46:58.666763,2233989686-190367-75
2023-07-31 16:46:58.687687,2183991689-209363-74
2023-07-31 16:46:58.711752,2163986696-198375-77
2023-07-31 16:46:58.732960,2123989688-171361-76
2023-07-31 16:46:58.756986,2113992681-185325-76
2023-07-31 16:46:58.782083,2193993693-214275-77
2023-07-31 16:46:58.802095,2233988704-181238-74
2023-07-31 16:46:58.827168,2153990697-146228-78
2023-07-31 16:46:58.847186,2153991682-166212-77
2023-07-31 16:46:58.872173,2153990682-214175-76
2023-07-31 16:46:58.896245,2113987706-213143-76
2023-07-31 16:46:58.916405,2153987710-163127-74
2023-07-31 16:46:58.941477,2203990690-137104-73
2023-07-31 16:46:58.962482,2193990673-17874-75
2023-07-31 16:46:58.986478,2143990678-22336-76
2023-07-31 16:46:59.006494,2103988702-2098-75
2023-07-31 16:46:59.027008,2103987707-170-10-74
2023-07-31 16:46:59.052012,2163991692-153-39-72
2023-07-31 16:46:59.072009,2153994680-175-72-73
2023-07-31 16:46:59.097011,2143992688-199-104-71
2023-07-31 16:46:59.121557,2163991697-195-130-72
2023-07-31 16:46:59.146541,2143991700-181-156-73
2023-07-31 16:46:59.170537,2093993696-178-185-72
2023-07-31 16:46:59.195539,2143992696-183-211-68
2023-07-31 16:46:59.216083,2183988693-184-237-68
2023-07-31 16:46:59.240103,2193990688-185-262-71
2023-07-31 16:46:59.265097,2143995695-197-288-72
2023-07-31 16:46:59.289170,2073994697-200-308-72
2023-07-31 16:46:59.314310,2153989691-190-329-71
2023-07-31 16:46:59.339020,2123988688-190-352-71
2023-07-31 16:46:59.362999,2133992694-210-373-70
2023-07-31 16:46:59.384005,2153993697-211-394-69
2023-07-31 16:46:59.407930,2203992701-195-411-70
2023-07-31 16:46:59.433030,2133991699-188-432-71
2023-07-31 16:46:59.457036,2083992694-199-451-70
2023-07-31 16:46:59.482030,2193991702-212-471-70
2023-07-31 16:46:59.507039,2193990707-209-486-71
2023-07-31 16:46:59.526757,2153989703-203-502-71
2023-07-31 16:46:59.551773,2173992700-202-520-71
2023-07-31 16:46:59.576687,2183991699-205-537-71
2023-07-31 16:46:59.600680,2153991700-202-553-71
2023-07-31 16:46:59.625473,2163990700-200-564-67
2023-07-31 16:46:59.650378,2203992698-205-585-66
2023-07-31 16:46:59.674380,2233989697-209-597-69
2023-07-31 16:46:59.695376,2193991698-207-611-70
2023-07-31 16:46:59.719915,2163990697-208-628-70
2023-07-31 16:46:59.744755,2173992699-211-647-68
2023-07-31 16:46:59.768832,2173992698-212-662-68
2023-07-31 16:46:59.793770,2183994701-213-674-69
2023-07-31 16:46:59.817448,2213992695-213-689-68
2023-07-31 16:46:59.842455,2253992692-207-702-69
2023-07-31 16:46:59.862451,2223992696-214-713-71
2023-07-31 16:46:59.887624,2143991701-222-726-70
2023-07-31 16:46:59.911922,2183988711-209-728-67
2023-07-31 16:46:59.936244,2203987710-192-732-68
2023-07-31 16:46:59.961268,2273987708-199-734-68
2023-07-31 16:46:59.986233,2203990706-215-741-70
2023-07-31 16:47:00.006310,2203991711-218-730-71
2023-07-31 16:47:00.031063,2233989716-208-719-68
2023-07-31 16:47:00.054985,2283989707-201-709-69
2023-07-31 16:47:00.080064,2283992702-204-695-70
2023-07-31 16:47:00.104174,2223992702-209-679-71
2023-07-31 16:47:00.128726,2173992709-207-661-70
2023-07-31 16:47:00.153814,2153991707-207-643-69
2023-07-31 16:47:00.174731,2133989710-209-621-66
2023-07-31 16:47:00.198810,2203988711-196-599-65
2023-07-31 16:47:00.223480,2323989703-189-574-64
2023-07-31 16:47:00.247586,2353987700-199-553-68
2023-07-31 16:47:00.272522,2333984704-224-550-67
2023-07-31 16:47:00.297523,2203985719-232-531-70
2023-07-31 16:47:00.317739,2183988722-206-523-67
2023-07-31 16:47:00.342755,2173993711-185-525-62
2023-07-31 16:47:00.366830,2183992704-198-525-62
2023-07-31 16:47:00.391747,2383989708-219-526-65
2023-07-31 16:47:00.416073,2423987716-214-526-70
2023-07-31 16:47:00.440589,2163989722-200-531-74
2023-07-31 16:47:00.464723,2093990724-197-535-70
2023-07-31 16:47:00.485619,2113991720-190-540-64
2023-07-31 16:47:00.510673,2403991707-200-559-61
2023-07-31 16:47:00.535084,2453987708-225-565-64
2023-07-31 16:47:00.559087,2393989715-220-578-69
2023-07-31 16:47:00.584203,2243992717-185-581-70
2023-07-31 16:47:00.608303,2093993717-184-597-68
2023-07-31 16:47:00.628994,2233991725-214-614-64
2023-07-31 16:47:00.653858,2263992723-229-632-66
2023-07-31 16:47:00.677858,2343989714-206-641-67
2023-07-31 16:47:00.702967,2303990695-195-646-71
2023-07-31 16:47:00.727420,2283991699-220-652-69
2023-07-31 16:47:00.752299,2313989722-259-644-68
2023-07-31 16:47:00.776295,2253989748-250-619-69
2023-07-31 16:47:00.797318,2203991740-187-596-68
2023-07-31 16:47:00.821063,2173991714-168-582-65
2023-07-31 16:47:00.845978,2423993706-188-584-61
2023-07-31 16:47:00.871045,2503990711-204-591-69
2023-07-31 16:47:00.895092,2343991723-240-592-75
2023-07-31 16:47:00.920247,1534014588-272-879-22
2023-07-31 16:47:00.944259,2183992706-389-1058-70
2023-07-31 16:47:00.969245,2364002663-137-713-91
2023-07-31 16:47:00.989247,-483264789-85-1133-11
2023-07-31 16:47:01.014255,143039782-99-1340-80
2023-07-31 16:47:01.042429,-13912476655-173-1211-178
2023-07-31 16:47:01.071309,-12382193656-449-1488-129
2023-07-31 16:47:01.096312,-15042041680-507-166811
2023-07-31 16:47:01.124770,-7232775666-271-1464-10
2023-07-31 16:47:01.148897,-13592485789-107-16880
2023-07-31 16:47:01.173832,-22242033656-2-1640-103
2023-07-31 16:47:01.202761,-16742015679-63-1808-133
2023-07-31 16:47:01.226589,-38712347599-307-1850-265
2023-07-31 16:47:01.255591,-36731669804-602-1952-122
2023-07-31 16:47:01.284596,-25361240936-385-171718
2023-07-31 16:47:01.308741,-16701191975-227-193597
2023-07-31 16:47:01.333175,-1265991663-6-1688-40
2023-07-31 16:47:01.362330,-153012001255-22-1859-150
2023-07-31 16:47:01.390557,-16431892997-218-2057-274
