Timestamp,Data
2023-08-01 09:40:01.602855,162	-66
2023-08-01 09:40:01.604369,177	3993	547	-162	176	-67
2023-08-01 09:40:01.605378,181	3991	542	-180	188	-64992	550	-178	135	-66
2023-08-01 09:40:01.606386,180	3991	555	-191	145	-68
2023-08-01 09:40:01.607380,176	3988	563	-171	162	-66
2023-08-01 09:40:01.607380,177	3993	547	-162	176	-67
2023-08-01 09:40:02.316528,"181	3991	542	-180	188	-64AcX	AcY	AcZ	GyX	GyY	GyZ"
2023-08-01 09:40:02.344666,197	3990	546	-180	334	-69
2023-08-01 09:40:02.373909,195	3989	551	-183	330	-70
2023-08-01 09:40:02.397647,193	3988	552	-178	327	-69
2023-08-01 09:40:02.426699,188	3987	546	-161	323	-71
2023-08-01 09:40:02.455673,193	3985	540	-176	310	-70
2023-08-01 09:40:02.484501,193	3983	547	-183	303	-69
2023-08-01 09:40:02.512643,188	3988	550	-165	299	-69
2023-08-01 09:40:02.540928,193	3990	544	-170	291	-67
2023-08-01 09:40:02.570183,199	3990	540	-172	284	-68
2023-08-01 09:40:02.594398,193	3990	538	-174	275	-71
2023-08-01 09:40:02.622701,213	3991	557	-193	266	-63
2023-08-01 09:40:02.652129,194	3986	573	-165	257	-75
2023-08-01 09:40:02.680313,194	3995	517	-111	262	-58
2023-08-01 09:40:02.708729,204	3993	525	-194	236	-78
2023-08-01 09:40:02.737920,197	3991	562	-235	216	-54
2023-08-01 09:40:02.766798,194	3987	573	-149	235	-82
2023-08-01 09:40:02.791452,203	3994	519	-119	229	-61
2023-08-01 09:40:02.818981,198	3994	509	-188	199	-72
2023-08-01 09:40:02.849126,192	3993	553	-248	184	-68
2023-08-01 09:40:02.876967,187	3983	573	-162	191	-65
2023-08-01 09:40:02.905643,213	3992	520	-111	194	-71
2023-08-01 09:40:02.934920,189	3990	519	-205	160	-71
2023-08-01 09:40:02.963183,194	3986	544	-211	153	-68
2023-08-01 09:40:02.991506,188	3987	546	-153	158	-64
2023-08-01 09:40:03.016399,209	3989	540	-180	141	-66
2023-08-01 09:40:03.045177,197	3988	539	-171	136	-70
2023-08-01 09:40:03.074266,176	3990	535	-174	120	-69
2023-08-01 09:40:03.102503,201	3988	545	-189	110	-60
2023-08-01 09:40:03.131036,213	3987	549	-176	100	-69
2023-08-01 09:40:03.155897,207	3991	544	-180	90	-66
2023-08-01 09:40:03.184199,193	3988	542	-172	80	-70
2023-08-01 09:40:03.212645,196	3988	536	-171	74	-63
2023-08-01 09:40:03.237564,208	3987	537	-184	60	-64
2023-08-01 09:40:03.267314,204	3990	543	-194	52	-69
2023-08-01 09:40:03.295263,195	3989	549	-177	43	-64
2023-08-01 09:40:03.320160,201	3993	525	-152	40	-65
2023-08-01 09:40:03.348114,201	3992	528	-187	19	-66
2023-08-01 09:40:03.372582,201	3990	543	-205	9	-65
2023-08-01 09:40:03.397922,198	3988	550	-168	5	-66
2023-08-01 09:40:03.426441,200	3990	536	-166	-2	-64
2023-08-01 09:40:03.454819,206	3995	529	-182	-14	-66
2023-08-01 09:40:03.483139,196	3992	533	-187	-23	-67
2023-08-01 09:40:03.512207,197	3988	543	-195	-35	-64
2023-08-01 09:40:03.540719,204	3990	544	-171	-39	-65
2023-08-01 09:40:03.565727,204	3988	534	-172	-49	-66
2023-08-01 09:40:03.594156,202	3988	534	-196	-58	-67
2023-08-01 09:40:03.622969,197	3991	543	-187	-62	-61
2023-08-01 09:40:03.651072,199	3989	543	-173	-68	-63
2023-08-01 09:40:03.680437,199	3990	535	-178	-77	-64
2023-08-01 09:40:03.708623,192	3990	539	-194	-86	-65
2023-08-01 09:40:03.737750,188	3989	546	-186	-87	-62
2023-08-01 09:40:03.762373,198	3986	544	-178	-90	-65
2023-08-01 09:40:03.791075,200	3989	535	-181	-96	-63
2023-08-01 09:40:03.818679,197	3991	532	-179	-100	-66
2023-08-01 09:40:03.851593,196	3990	538	-186	-107	-63
2023-08-01 09:40:03.881229,199	3990	542	-180	-111	-65
2023-08-01 09:40:03.909279,201	3989	538	-179	-115	-65
2023-08-01 09:40:03.938348,196	3989	541	-187	-118	-65
2023-08-01 09:40:03.966606,193	3992	542	-177	-118	-63
2023-08-01 09:40:03.995522,199	3990	541	-187	-124	-61
2023-08-01 09:40:04.024264,201	3989	551	-194	-126	-63
2023-08-01 09:40:04.053159,196	3987	545	-176	-125	-63
2023-08-01 09:40:04.085255,194	3990	538	-177	-130	-64
2023-08-01 09:40:04.114331,198	3991	544	-192	-134	-62
2023-08-01 09:40:04.142438,201	3990	547	-188	-136	-64
2023-08-01 09:40:04.171367,197	3989	547	-175	-134	-64
2023-08-01 09:40:04.200665,197	3991	539	-182	-138	-64
2023-08-01 09:40:04.229170,195	3990	541	-185	-140	-65
2023-08-01 09:40:04.257278,198	3990	544	-184	-139	-64
2023-08-01 09:40:04.285815,198	3988	544	-184	-142	-64
2023-08-01 09:40:04.315101,195	3988	541	-180	-141	-63
2023-08-01 09:40:04.348228,195	3991	543	-184	-145	-66
2023-08-01 09:40:04.376485,194	3990	544	-188	-142	-65
2023-08-01 09:40:04.405345,197	3990	545	-184	-141	-62
2023-08-01 09:40:04.434103,196	3989	546	-185	-144	-63
2023-08-01 09:40:04.462819,198	3989	549	-180	-146	-65
2023-08-01 09:40:04.491376,194	3991	543	-192	-138	-66
2023-08-01 09:40:04.520021,196	3987	547	-186	-68	-65
2023-08-01 09:40:04.549142,201	3989	544	-175	-26	-67
2023-08-01 09:40:04.576825,202	3988	541	-183	-2	-65
2023-08-01 09:40:04.601428,197	3989	540	-183	21	-66
2023-08-01 09:40:04.630216,195	3991	540	-173	32	-66
2023-08-01 09:40:04.655253,194	3990	538	-178	14	-64
2023-08-01 09:40:04.683984,194	3988	539	-187	-9	-63
2023-08-01 09:40:04.712597,196	3990	543	-180	-12	-61
2023-08-01 09:40:04.737174,193	3990	543	-176	3	-63
2023-08-01 09:40:04.765693,193	3989	540	-181	15	-63
2023-08-01 09:40:04.790252,194	3990	541	-181	-2	-64
2023-08-01 09:40:04.818495,195	3993	544	-180	-48	-66
2023-08-01 09:40:04.847340,197	3988	543	-185	-93	-64
2023-08-01 09:40:04.875841,193	3989	542	-183	-112	-65
2023-08-01 09:40:04.904573,191	3987	544	-179	-121	-60
2023-08-01 09:40:04.937595,197	3987	545	-184	-136	-62
2023-08-01 09:40:04.966580,197	3989	546	-187	-141	-65
2023-08-01 09:40:04.995211,197	3991	542	-181	-111	-64
2023-08-01 09:40:05.023197,195	3989	538	-179	-71	-63
2023-08-01 09:40:05.048668,199	3989	541	-186	-58	-63
2023-08-01 09:40:05.076405,193	3989	545	-185	-52	-63
2023-08-01 09:40:05.105435,196	3989	548	-171	-35	-64
2023-08-01 09:40:05.134266,197	3991	543	-179	-13	-65
2023-08-01 09:40:05.163164,195	3989	543	-189	-1	-64
2023-08-01 09:40:05.187717,194	3989	544	-178	6	-63
2023-08-01 09:40:05.216414,195	3987	546	-172	10	-68
2023-08-01 09:40:05.240461,193	3990	541	-176	11	-64
2023-08-01 09:40:05.269450,190	3991	539	-182	9	-64
2023-08-01 09:40:05.294250,195	3989	547	-181	10	-64
2023-08-01 09:40:05.322350,193	3986	547	-177	10	-63
2023-08-01 09:40:05.347184,194	3986	542	-177	11	-64
2023-08-01 09:40:05.376065,194	3989	542	-182	9	-65
2023-08-01 09:40:05.400332,197	3989	543	-181	8	-64
2023-08-01 09:40:05.428677,197	3987	545	-182	8	-64
2023-08-01 09:40:05.453913,199	3988	548	-187	6	-65
2023-08-01 09:40:05.478403,198	3988	546	-180	8	-66
2023-08-01 09:40:05.506470,195	3991	538	-173	5	-66
2023-08-01 09:40:05.531503,191	3993	538	-183	2	-64
2023-08-01 09:40:05.555954,198	3990	543	-181	2	-65
2023-08-01 09:40:05.585108,199	3989	543	-181	0	-64
2023-08-01 09:40:05.609094,196	3986	548	-185	-3	-66
2023-08-01 09:40:05.638137,187	3989	545	-170	1	-66
2023-08-01 09:40:05.662349,193	3991	531	-167	2	-64
2023-08-01 09:40:05.690790,196	3993	534	-187	-4	-66
2023-08-01 09:40:05.716304,195	3989	548	-199	-8	-65
2023-08-01 09:40:05.744346,196	3990	552	-173	-3	-65
2023-08-01 09:40:05.769238,193	3988	534	-162	-2	-69
2023-08-01 09:40:05.797518,188	3988	531	-186	-8	-67
2023-08-01 09:40:05.826568,192	3991	534	-187	-10	-66
2023-08-01 09:40:05.855239,203	3987	552	-194	-13	-65
2023-08-01 09:40:05.882781,199	3988	559	-181	-10	-68
2023-08-01 09:40:05.908423,188	3989	528	-142	1	-71
2023-08-01 09:40:05.936509,187	3994	493	-165	-7	-63
2023-08-01 09:40:05.961453,213	3993	540	-257	-26	-65
2023-08-01 09:40:05.990451,204	3983	604	-226	-19	-71
2023-08-01 09:40:06.018438,182	3984	585	-112	9	-70
2023-08-01 09:40:06.043418,176	3988	527	-117	1	-67
2023-08-01 09:40:06.071771,186	3992	513	-200	-15	-58
2023-08-01 09:40:06.100985,190	3988	530	-198	-15	-60
2023-08-01 09:40:06.129594,190	3985	549	-190	-12	-57
2023-08-01 09:40:06.157523,201	3990	585	-235	-22	-57
2023-08-01 09:40:06.182955,214	3984	576	-136	1	-57
2023-08-01 09:40:06.207448,192	3993	517	-102	3	-68
2023-08-01 09:40:06.235549,189	3994	485	-180	-10	-64
2023-08-01 09:40:06.264410,176	3994	527	-231	-10	-52
2023-08-01 09:40:06.292496,244	3987	599	-262	-37	-40
2023-08-01 09:40:06.317473,194	3983	594	-144	9	-77
2023-08-01 09:40:06.346420,210	3996	504	-60	17	-76
2023-08-01 09:40:06.371392,153	3990	485	-179	-7	-74
2023-08-01 09:40:06.399193,213	3991	518	-282	-31	-48
2023-08-01 09:40:06.428259,210	3984	602	-217	-7	-67
2023-08-01 09:40:06.452667,209	3983	578	-124	-2	-68
2023-08-01 09:40:06.481618,184	3991	503	-108	10	-69
2023-08-01 09:40:06.510079,182	3993	507	-204	-14	-70
2023-08-01 09:40:06.538461,195	3987	562	-267	-21	-55
2023-08-01 09:40:06.563764,219	3984	585	-161	-3	-71
2023-08-01 09:40:06.591775,185	3989	549	-135	3	-69
2023-08-01 09:40:06.616459,190	3993	511	-155	-5	-65
2023-08-01 09:40:06.645318,193	3994	511	-189	-7	-66
2023-08-01 09:40:06.673916,219	3982	546	-328	-128	-81
2023-08-01 09:40:06.702879,295	3972	672	-151	-443	42
2023-08-01 09:40:06.731633,195	4010	447	-157	-134	-162
2023-08-01 09:40:06.760522,187	4024	479	-236	-677	-34
2023-08-01 09:40:06.792547,-996	2388	546	-337	-560	-30
2023-08-01 09:40:06.821270,-1987	1910	633	-292	-659	40
2023-08-01 09:40:06.850177,-1770	622	588	-42	-564	19
2023-08-01 09:40:06.879309,-1633	2559	519	-75	-732	-113
2023-08-01 09:40:06.912142,-756	3086	405	-268	-688	-264
2023-08-01 09:40:06.940446,-450	2146	444	-438	-704	-58
2023-08-01 09:40:06.973127,-377	1535	605	-394	-729	125
2023-08-01 09:40:07.001740,-598	1229	528	-226	-556	80
2023-08-01 09:40:07.030373,-195	1405	616	-69	-420	-39
2023-08-01 09:40:07.059251,-464	1429	556	-1	-502	-246
2023-08-01 09:40:07.092204,-568	1156	455	-202	-598	-294
2023-08-01 09:40:07.120414,-596	1210	465	-421	-576	-64
2023-08-01 09:40:07.153153,-732	1440	516	-462	-492	160
2023-08-01 09:40:07.182345,-994	1673	564	-125	-282	128
2023-08-01 09:40:07.210365,-479	1261	533	-102	-427	-56
2023-08-01 09:40:07.239414,-702	2293	493	70	-422	-270
2023-08-01 09:40:07.272409,-644	2338	509	-181	-412	-370
2023-08-01 09:40:07.300971,-519	2108	502	-443	-490	-23
2023-08-01 09:40:07.333423,-915	2028	485	-474	-385	187
2023-08-01 09:40:07.362367,-347	1890	663	-179	-220	84
2023-08-01 09:40:07.390110,-253	1273	563	69	-263	-100
2023-08-01 09:40:07.418956,-335	1446	577	78	-316	-324
2023-08-01 09:40:07.452205,-528	1748	385	-195	-333	-328
2023-08-01 09:40:07.481462,-1085	2508	387	-460	-460	1
2023-08-01 09:40:07.512559,-2406	1066	590	-438	-299	214
2023-08-01 09:40:07.542365,-1147	963	713	-197	-244	94
2023-08-01 09:40:07.571159,-876	1549	534	110	-207	-111
2023-08-01 09:40:07.598737,-1188	1457	412	36	-338	-333
2023-08-01 09:40:07.632173,-850	2186	504	-255	-330	-245
2023-08-01 09:40:07.661568,-1007	1054	491	-481	-383	35
2023-08-01 09:40:07.694103,-1489	2184	431	-420	-280	188
2023-08-01 09:40:07.726236,-1008	1969	583	-106	-241	117
2023-08-01 09:40:07.755053,-987	1335	554	83	-199	-212
2023-08-01 09:40:07.784166,-760	1475	506	22	-260	-336
2023-08-01 09:40:07.816885,-864	1936	418	-299	-362	-196
2023-08-01 09:40:07.845137,-727	1739	377	-504	-367	71
2023-08-01 09:40:07.874288,-989	1449	623	-366	-185	250
2023-08-01 09:40:07.902483,-1989	2132	526	-67	-227	58
2023-08-01 09:40:07.931207,-682	1565	587	77	-181	-222
2023-08-01 09:40:07.960606,-514	1698	496	65	-329	-402
2023-08-01 09:40:07.992804,-1226	1650	467	-292	-300	-256
2023-08-01 09:40:08.026055,-547	1587	590	-499	-368	138
2023-08-01 09:40:08.054145,-432	1854	564	-307	-212	260
2023-08-01 09:40:08.083332,-433	2035	613	-55	-112	19
2023-08-01 09:40:08.111803,-663	1693	487	91	-203	-255
2023-08-01 09:40:08.140454,-575	1741	406	28	-333	-347
2023-08-01 09:40:08.172881,-557	1976	507	-249	-266	-222
2023-08-01 09:40:08.202259,-320	1596	540	-513	-285	130
2023-08-01 09:40:08.234278,-2095	986	619	-336	-204	269
2023-08-01 09:40:08.262670,-1493	1665	551	-51	-155	48
2023-08-01 09:40:08.291323,-787	1692	525	69	-239	-205
2023-08-01 09:40:08.320130,-1543	1447	461	15	-324	-423
2023-08-01 09:40:08.353111,-1682	1016	417	-305	-254	-230
2023-08-01 09:40:08.382087,-764	1996	500	-500	-264	162
2023-08-01 09:40:08.414922,-471	1120	698	-266	-208	269
2023-08-01 09:40:08.439119,-507	1122	593	60	-133	11
2023-08-01 09:40:08.468117,-432	3416	484	72	-312	-223
2023-08-01 09:40:08.500862,-310	3018	566	-85	-252	-472
2023-08-01 09:40:08.530187,-390	2443	471	-310	-291	-158
2023-08-01 09:40:08.562530,-677	1943	603	-470	-313	196
2023-08-01 09:40:08.591257,-1173	1731	577	-325	-74	302
2023-08-01 09:40:08.619107,-1037	1620	589	-52	-166	33
2023-08-01 09:40:08.651892,-607	1958	560	102	-301	-239
2023-08-01 09:40:08.680815,-1057	2314	414	-32	-237	-425
2023-08-01 09:40:08.714059,-707	1894	387	-497	-401	-124
2023-08-01 09:40:08.742599,-912	1034	539	-450	-244	220
2023-08-01 09:40:08.771289,-502	1429	638	-277	-90	234
2023-08-01 09:40:08.800054,-1002	2179	606	-89	-365	5
2023-08-01 09:40:08.832900,-1390	4312	563	122	-228	-293
2023-08-01 09:40:08.865666,-2108	3012	442	-91	-495	-441
2023-08-01 09:40:08.894293,-1557	2463	455	-438	-448	-146
2023-08-01 09:40:08.926422,-910	3679	648	-399	-332	244
2023-08-01 09:40:08.955740,-888	2180	660	-263	-299	242
2023-08-01 09:40:08.987695,-1174	2099	506	13	-390	-100
2023-08-01 09:40:09.016782,-755	3156	386	84	-498	-418
2023-08-01 09:40:09.045130,-921	2435	385	-154	-557	-370
2023-08-01 09:40:09.078111,-1260	3198	429	-416	-577	20
2023-08-01 09:40:09.106578,-721	2041	636	-379	-394	205
2023-08-01 09:40:09.135801,-548	1700	589	-211	-412	203
2023-08-01 09:40:09.164620,-299	988	659	-3	-551	-81
2023-08-01 09:40:09.192420,-1378	2172	551	79	-615	-393
2023-08-01 09:40:09.225411,-1641	1932	466	-207	-735	-345
2023-08-01 09:40:09.258927,-1067	1500	539	-422	-710	-22
2023-08-01 09:40:09.287256,-571	1964	615	-404	-566	233
2023-08-01 09:40:09.318985,-274	2578	617	-136	-570	127
2023-08-01 09:40:09.348495,-97	1744	530	50	-672	-184
2023-08-01 09:40:09.377454,-173	2083	514	-39	-866	-364
2023-08-01 09:40:09.410238,-2277	2625	431	-218	-803	-256
2023-08-01 09:40:09.438673,-1666	1657	547	-441	-824	108
2023-08-01 09:40:09.471051,-773	1988	565	-403	-792	205
2023-08-01 09:40:09.500332,-266	3951	574	-87	-624	124
2023-08-01 09:40:09.529222,-109	2330	485	-40	-982	-165
2023-08-01 09:40:09.562001,-152	2070	494	-83	-1011	-389
2023-08-01 09:40:09.594153,-384	1754	440	-290	-993	-145
2023-08-01 09:40:09.622777,-680	3269	631	-463	-979	175
2023-08-01 09:40:09.656243,-1056	2639	690	-285	-816	239
2023-08-01 09:40:09.680683,-536	2517	602	-54	-840	28
2023-08-01 09:40:09.713270,-686	1740	619	-43	-1093	-272
2023-08-01 09:40:09.746457,-1385	1656	450	-137	-1070	-314
2023-08-01 09:40:09.778538,-1154	1046	508	-406	-1123	-92
2023-08-01 09:40:09.811088,-859	1005	622	-396	-1042	136
2023-08-01 09:40:09.840167,-333	1430	689	-216	-843	151
2023-08-01 09:40:09.872436,-426	1698	627	-21	-1083	-104
2023-08-01 09:40:09.901699,-811	2111	561	-97	-1144	-303
2023-08-01 09:40:09.934284,-1514	1724	488	-217	-1191	-224
2023-08-01 09:40:09.966451,-1294	3121	555	-419	-1170	22
2023-08-01 09:40:10.000087,-804	2419	578	-331	-1079	186
2023-08-01 09:40:10.028007,-1263	1940	573	-86	-1028	87
2023-08-01 09:40:10.061401,-629	3018	638	-31	-1134	-248
2023-08-01 09:40:10.090276,-907	6158	598	-98	-1275	-275
2023-08-01 09:40:10.122502,-611	3384	464	-347	-1292	-102
2023-08-01 09:40:10.155391,-463	2158	615	-464	-1196	87
2023-08-01 09:40:10.184378,-550	4176	638	-254	-1132	194
2023-08-01 09:40:10.216436,-851	2828	612	-54	-1208	-22
2023-08-01 09:40:10.244983,-868	3483	571	-87	-1241	-289
2023-08-01 09:40:10.278299,-1124	1990	597	-230	-1384	-234
2023-08-01 09:40:10.311263,-606	1862	652	-400	-1368	-19
2023-08-01 09:40:10.343972,-431	1764	629	-401	-1302	142
2023-08-01 09:40:10.372522,-443	3838	632	-166	-1197	147
2023-08-01 09:40:10.401623,-931	3088	641	4	-1257	-160
2023-08-01 09:40:10.434133,-962	1825	566	-99	-1434	-325
2023-08-01 09:40:10.467036,-1469	1828	540	-284	-1468	-170
2023-08-01 09:40:10.499205,-1159	1932	528	-439	-1482	4
2023-08-01 09:40:10.528592,-510	1585	649	-276	-1461	203
2023-08-01 09:40:10.561364,-172	1517	632	-156	-1287	50
2023-08-01 09:40:10.589310,-1108	1916	523	-21	-1446	-278
2023-08-01 09:40:10.626339,-1089	3504	465	-201	-1597	-309
2023-08-01 09:40:10.655154,-1474	4267	518	-334	-1565	-98
2023-08-01 09:40:10.688146,-550	2962	591	-406	-1568	127
2023-08-01 09:40:10.720548,-604	2378	675	-264	-1479	186
2023-08-01 09:40:10.749108,-395	1561	592	-54	-1414	-54
2023-08-01 09:40:10.778342,-375	1715	552	-8	-1615	-283
2023-08-01 09:40:10.810597,-569	1511	645	-243	-1686	-190
2023-08-01 09:40:10.842509,-1002	2104	693	-377	-1668	-5
2023-08-01 09:40:10.876680,-1211	2949	618	-411	-1621	103
