Timestamp,Data
2023-08-01 11:55:27.401857,AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-01 11:55:27.430546,132	3987	514	-171	-7	-59
2023-08-01 11:55:27.459235,131	3986	511	-172	-7	-58
2023-08-01 11:55:27.483724,136	3988	507	-170	-8	-58
2023-08-01 11:55:27.512288,128	3987	506	-172	-8	-57
2023-08-01 11:55:27.540875,126	3988	505	-173	-7	-59
2023-08-01 11:55:27.565761,128	3988	506	-175	-6	-56
2023-08-01 11:55:27.594035,133	3986	509	-178	-8	-58
2023-08-01 11:55:27.617878,129	3990	511	-175	-6	-57
2023-08-01 11:55:27.647181,121	3986	514	-171	-7	-58
2023-08-01 11:55:27.675975,132	3987	509	-173	-4	-59
2023-08-01 11:55:27.699553,138	3993	512	-174	-5	-54
2023-08-01 11:55:27.728991,134	3980	514	-175	-5	-62
2023-08-01 11:55:27.753960,132	3993	511	-169	-4	-62
2023-08-01 11:55:27.781872,122	3984	511	-163	-5	-56
2023-08-01 11:55:27.810811,131	3981	506	-161	-1	-58
2023-08-01 11:55:27.835992,141	3994	505	-166	-13	-54
2023-08-01 11:55:27.864766,136	3991	511	-169	-32	-56
2023-08-01 11:55:27.892993,129	3990	515	-182	-59	-60
2023-08-01 11:55:27.921633,125	3984	512	-177	-85	-56
2023-08-01 11:55:27.949303,121	3982	514	-173	-107	-53
2023-08-01 11:55:27.979271,135	3988	522	-193	-110	-53
2023-08-01 11:55:28.007931,145	3990	533	-175	-97	-54
2023-08-01 11:55:28.036680,142	3991	520	-130	-75	-61
2023-08-01 11:55:28.064880,129	3990	490	-132	-63	-64
2023-08-01 11:55:28.093769,114	3985	488	-168	-63	-61
2023-08-01 11:55:28.121873,118	3985	505	-183	-63	-52
2023-08-01 11:55:28.151054,130	3984	520	-173	-64	-52
2023-08-01 11:55:28.174939,148	3986	513	-144	-54	-59
2023-08-01 11:55:28.204586,140	3993	467	-128	-25	-63
2023-08-01 11:55:28.232881,122	3989	450	-197	10	-62
2023-08-01 11:55:28.256922,117	3987	477	-251	26	-60
2023-08-01 11:55:28.285656,132	3987	514	-228	45	-58
2023-08-01 11:55:28.314876,142	3990	528	-208	50	-58
2023-08-01 11:55:28.339091,142	3991	550	-201	70	-63
2023-08-01 11:55:28.367803,125	3986	529	-125	82	-65
2023-08-01 11:55:28.396990,119	3987	487	-124	87	-64
2023-08-01 11:55:28.421044,121	3986	501	-196	75	-60
2023-08-01 11:55:28.449401,128	3981	521	-213	75	-60
2023-08-01 11:55:28.474840,137	3985	525	-162	82	-59
2023-08-01 11:55:28.503520,134	3985	513	-161	69	-60
2023-08-01 11:55:28.531569,126	3989	499	-166	45	-62
2023-08-01 11:55:28.557002,119	3988	492	-166	24	-58
2023-08-01 11:55:28.585949,125	3988	503	-193	-7	-56
2023-08-01 11:55:28.613873,127	3984	526	-215	-36	-56
2023-08-01 11:55:28.642197,135	3984	540	-183	-56	-55
2023-08-01 11:55:28.667060,129	3984	525	-142	-78	-61
2023-08-01 11:55:28.696041,128	3989	501	-156	-106	-59
2023-08-01 11:55:28.728929,121	3987	505	-198	-143	-57
2023-08-01 11:55:28.757300,127	3987	529	-177	-168	-54
2023-08-01 11:55:28.785827,127	3990	522	-146	-196	-52
2023-08-01 11:55:28.814629,124	3983	505	-161	-229	-54
2023-08-01 11:55:28.842821,131	3989	494	-167	-262	-54
2023-08-01 11:55:28.871780,133	3992	498	-176	-300	-50
2023-08-01 11:55:28.900816,124	3981	518	-188	-339	-52
2023-08-01 11:55:28.929678,126	3987	530	-177	-367	-53
2023-08-01 11:55:28.961958,122	3988	524	-148	-400	-48
2023-08-01 11:55:28.991224,118	3985	511	-146	-435	-49
2023-08-01 11:55:29.019756,132	3992	509	-185	-474	-50
2023-08-01 11:55:29.047998,132	3986	522	-168	-502	-49
2023-08-01 11:55:29.076908,125	3988	503	-123	-532	-50
2023-08-01 11:55:29.105605,123	3989	485	-162	-567	-51
2023-08-01 11:55:29.133597,123	3987	504	-208	-602	-50
2023-08-01 11:55:29.162564,126	3986	523	-173	-615	-48
2023-08-01 11:55:29.194858,120	3986	509	-121	-615	-54
2023-08-01 11:55:29.223910,124	3988	489	-165	-638	-54
2023-08-01 11:55:29.252564,120	3991	501	-213	-646	-52
2023-08-01 11:55:29.281640,116	3986	512	-176	-643	-48
2023-08-01 11:55:29.309238,117	3988	498	-146	-640	-49
2023-08-01 11:55:29.337901,126	3992	500	-192	-648	-46
2023-08-01 11:55:29.367395,126	3985	524	-210	-653	-46
2023-08-01 11:55:29.396069,125	3981	536	-150	-647	-50
2023-08-01 11:55:29.425095,123	3989	516	-141	-655	-49
2023-08-01 11:55:29.457450,122	3991	508	-182	-671	-50
2023-08-01 11:55:29.486130,121	3983	505	-162	-672	-52
2023-08-01 11:55:29.515019,119	3988	485	-146	-679	-51
2023-08-01 11:55:29.544031,113	3991	488	-199	-696	-48
2023-08-01 11:55:29.572643,115	3986	530	-223	-709	-48
2023-08-01 11:55:29.600949,125	3987	542	-166	-705	-49
2023-08-01 11:55:29.629248,124	3988	523	-129	-712	-49
2023-08-01 11:55:29.658198,117	3987	498	-154	-724	-51
2023-08-01 11:55:29.690989,116	3987	498	-184	-736	-53
2023-08-01 11:55:29.719814,104	3983	506	-174	-749	-51
2023-08-01 11:55:29.747807,109	3988	510	-167	-755	-53
2023-08-01 11:55:29.777331,108	3984	515	-177	-769	-50
2023-08-01 11:55:29.805948,105	3986	516	-175	-777	-50
2023-08-01 11:55:29.834940,109	3988	521	-174	-787	-47
2023-08-01 11:55:29.862820,111	3988	530	-177	-796	-45
2023-08-01 11:55:29.891976,112	3991	520	-169	-802	-49
2023-08-01 11:55:29.924814,106	3987	513	-165	-813	-47
2023-08-01 11:55:29.949418,99	3986	502	-185	-812	-51
2023-08-01 11:55:29.978023,107	3990	504	-203	-816	-50
2023-08-01 11:55:30.010830,109	3992	509	-217	-804	-54
2023-08-01 11:55:30.039521,106	3989	519	-213	-805	-54
2023-08-01 11:55:30.068112,105	3990	520	-201	-810	-57
2023-08-01 11:55:30.096764,102	3990	518	-183	-819	-57
2023-08-01 11:55:30.124961,100	3990	509	-191	-831	-56
2023-08-01 11:55:30.154167,102	3988	507	-211	-844	-60
2023-08-01 11:55:30.182752,101	3985	507	-190	-852	-58
2023-08-01 11:55:30.211056,99	3988	504	-165	-862	-57
