Timestamp,Data
2023-08-01 11:58:52.826951,8-58
2023-08-01 11:58:52.826951,186	3989	54176	75	-54
2023-08-01 11:58:52.827949,186	3990	535	-161	92	-55
2023-08-01 11:58:52.828948,185	3990	528	-161	102	-57
2023-08-01 11:58:52.828948,180	3990	528	-182	97	-57
2023-08-01 11:58:52.828948,179	3987	534	-179	86	-58
2023-08-01 11:58:53.523189,186	3989	541AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-01 11:58:53.551743,186	3987	583	-214	-24	-61
2023-08-01 11:58:53.580467,178	3987	584	-184	-16	-61
2023-08-01 11:58:53.609117,172	3988	571	-157	-13	-57
2023-08-01 11:58:53.637425,200	3998	536	-139	-16	-49
2023-08-01 11:58:53.665948,186	3994	525	-168	-27	-61
2023-08-01 11:58:53.690963,174	3991	537	-191	-21	-57
2023-08-01 11:58:53.719133,188	3990	557	-190	-24	-54
2023-08-01 11:58:53.747757,182	3983	565	-168	-24	-58
2023-08-01 11:58:53.777046,185	3987	537	-135	-21	-55
2023-08-01 11:58:53.805870,187	3990	518	-165	-27	-59
2023-08-01 11:58:53.834962,173	3984	532	-193	-28	-53
2023-08-01 11:58:53.862552,188	3990	536	-167	-23	-51
2023-08-01 11:58:53.891947,184	3991	533	-179	-25	-56
2023-08-01 11:58:53.916693,183	3985	552	-199	-23	-57
2023-08-01 11:58:53.944639,187	3990	552	-167	-18	-56
2023-08-01 11:58:53.973810,176	3988	541	-164	-21	-54
2023-08-01 11:58:54.002613,191	3986	550	-186	-23	-55
2023-08-01 11:58:54.030854,194	3988	557	-160	-20	-56
2023-08-01 11:58:54.059988,180	3987	537	-153	-18	-54
2023-08-01 11:58:54.087867,188	3991	538	-180	-15	-52
2023-08-01 11:58:54.112799,184	3986	541	-167	-7	-55
2023-08-01 11:58:54.141545,188	3989	535	-161	6	-56
2023-08-01 11:58:54.166007,184	3989	538	-184	11	-56
2023-08-01 11:58:54.194631,177	3987	544	-177	19	-55
2023-08-01 11:58:54.219651,194	3988	553	-170	28	-51
2023-08-01 11:58:54.247683,185	3985	548	-172	35	-55
2023-08-01 11:58:54.277155,178	3991	537	-154	43	-55
2023-08-01 11:58:54.301825,197	3990	527	-170	47	-54
2023-08-01 11:58:54.329068,185	3987	541	-190	51	-61
2023-08-01 11:58:54.354750,183	3986	544	-160	61	-53
2023-08-01 11:58:54.382940,190	3991	530	-166	63	-54
2023-08-01 11:58:54.411847,181	3983	538	-186	66	-58
2023-08-01 11:58:54.436509,183	3990	541	-159	71	-54
2023-08-01 11:58:54.465695,188	3991	535	-178	69	-54
2023-08-01 11:58:54.490194,185	3988	549	-193	70	-55
2023-08-01 11:58:54.518338,195	3995	540	-155	77	-56
2023-08-01 11:58:54.546687,190	3990	532	-164	72	-57
2023-08-01 11:58:54.571597,189	3988	543	-197	71	-57
2023-08-01 11:58:54.600632,190	3988	551	-163	73	-58
2023-08-01 11:58:54.629198,188	3990	541	-155	68	-58
2023-08-01 11:58:54.653797,184	3985	539	-183	58	-56
2023-08-01 11:58:54.681972,190	3986	536	-166	55	-56
2023-08-01 11:58:54.706593,185	3988	528	-164	48	-54
2023-08-01 11:58:54.735808,192	3990	532	-192	39	-55
2023-08-01 11:58:54.763756,188	3987	549	-177	36	-56
2023-08-01 11:58:54.788919,181	3986	550	-162	32	-57
2023-08-01 11:58:54.817563,183	3985	548	-177	25	-56
2023-08-01 11:58:54.841467,187	3987	542	-167	20	-54
2023-08-01 11:58:54.870933,190	3988	546	-169	15	-56
2023-08-01 11:58:54.899262,189	3988	552	-181	12	-55
2023-08-01 11:58:54.923906,180	3988	544	-158	9	-53
2023-08-01 11:58:54.947541,178	3986	533	-153	4	-52
2023-08-01 11:58:54.977019,195	3994	530	-178	-2	-53
2023-08-01 11:58:55.005765,192	3991	533	-172	-1	-55
2023-08-01 11:58:55.030731,172	3988	529	-162	-3	-56
2023-08-01 11:58:55.059613,178	3984	530	-184	-7	-51
2023-08-01 11:58:55.088059,191	3986	547	-188	-10	-51
2023-08-01 11:58:55.116790,194	3986	544	-167	-11	-55
2023-08-01 11:58:55.141141,182	3987	537	-172	-14	-59
2023-08-01 11:58:55.169282,177	3989	540	-181	-16	-52
2023-08-01 11:58:55.197909,191	3987	532	-170	-17	-51
2023-08-01 11:58:55.226879,193	3992	522	-172	-19	-54
2023-08-01 11:58:55.255879,179	3989	532	-190	-25	-54
2023-08-01 11:58:55.284672,184	3989	547	-183	-22	-53
2023-08-01 11:58:55.313120,190	3989	548	-171	-23	-51
2023-08-01 11:58:55.337762,186	3989	540	-172	-22	-55
2023-08-01 11:58:55.366638,182	3991	545	-181	-23	-54
2023-08-01 11:58:55.394957,183	3988	544	-172	-22	-52
2023-08-01 11:58:55.423264,181	3988	536	-163	-23	-53
2023-08-01 11:58:55.452723,186	3986	527	-183	-28	-54
2023-08-01 11:58:55.481435,183	3986	544	-189	-25	-53
2023-08-01 11:58:55.509301,185	3984	544	-174	-25	-54
2023-08-01 11:58:55.533810,193	3986	540	-177	-22	-51
2023-08-01 11:58:55.562653,191	3986	538	-179	-21	-55
2023-08-01 11:58:55.591635,188	3987	538	-179	-20	-54
2023-08-01 11:58:55.620665,189	3990	536	-187	-24	-54
2023-08-01 11:58:55.649109,175	3993	532	-173	-21	-41
2023-08-01 11:58:55.677897,200	3988	556	-218	-31	-48
