Timestamp,Data
2023-08-02 14:14:47.244174,AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 14:14:47.244174,126	-54	4804	-174	5	-64
2023-08-02 14:14:47.245174,132	-53	4804	-173	6	-64
2023-08-02 14:14:47.253171,128	-53	4805	-175	7	-63
2023-08-02 14:14:47.278852,128	-57	4799	-173	6	-64
2023-08-02 14:14:47.306827,130	-56	4801	-174	10	-62
2023-08-02 14:14:47.330933,125	-56	4804	-174	9	-64
2023-08-02 14:14:47.360071,121	-54	4807	-173	9	-62
2023-08-02 14:14:47.384594,124	-51	4805	-174	7	-62
2023-08-02 14:14:47.408719,128	-54	4796	-175	6	-62
2023-08-02 14:14:47.437674,121	-54	4800	-175	6	-64
2023-08-02 14:14:47.461989,121	-51	4802	-174	6	-64
2023-08-02 14:14:47.486853,119	-52	4802	-175	7	-62
2023-08-02 14:14:47.514850,124	-56	4808	-174	6	-61
2023-08-02 14:14:47.539673,127	-54	4803	-174	4	-62
2023-08-02 14:14:47.564179,129	-54	4799	-174	6	-63
2023-08-02 14:14:47.593775,129	-57	4800	-174	5	-62
2023-08-02 14:14:47.617852,131	-58	4799	-174	6	-64
2023-08-02 14:14:47.642935,128	-57	4803	-175	6	-63
2023-08-02 14:14:47.671085,127	-57	4807	-173	6	-63
2023-08-02 14:14:47.695793,131	-59	4801	-173	6	-65
2023-08-02 14:14:47.720660,128	-58	4804	-174	7	-63
2023-08-02 14:14:47.748684,121	-54	4806	-174	6	-63
2023-08-02 14:14:47.773741,122	-54	4803	-174	3	-61
2023-08-02 14:14:47.797873,129	-54	4800	-173	4	-64
2023-08-02 14:14:47.826971,130	-52	4798	-174	6	-63
2023-08-02 14:14:47.850870,120	-59	4805	-173	9	-60
2023-08-02 14:14:47.875884,119	-58	4805	-174	7	-62
2023-08-02 14:14:47.904244,126	-53	4803	-174	3	-63
2023-08-02 14:14:47.929346,126	-55	4798	-175	4	-63
2023-08-02 14:14:47.953318,126	-60	4798	-174	7	-60
2023-08-02 14:14:47.982099,124	-61	4798	-173	7	-63
2023-08-02 14:14:48.007226,119	-54	4802	-172	6	-64
2023-08-02 14:14:48.031086,126	-50	4801	-174	6	-63
2023-08-02 14:14:48.059969,124	-52	4800	-175	6	-61
2023-08-02 14:14:48.084386,124	-56	4805	-175	7	-64
2023-08-02 14:14:48.109778,121	-57	4803	-175	8	-62
2023-08-02 14:14:48.137819,119	-56	4804	-174	7	-62
2023-08-02 14:14:48.162915,125	-52	4802	-174	6	-63
2023-08-02 14:14:48.186434,126	-59	4802	-174	6	-63
2023-08-02 14:14:48.215424,123	-56	4798	-175	8	-61
2023-08-02 14:14:48.240567,120	-58	4804	-175	8	-63
2023-08-02 14:14:48.264440,124	-55	4813	-172	7	-64
2023-08-02 14:14:48.293902,126	-54	4799	-173	7	-63
2023-08-02 14:14:48.317774,129	-54	4800	-176	7	-63
2023-08-02 14:14:48.346844,126	-63	4799	-174	10	-63
2023-08-02 14:14:48.370772,122	-58	4799	-173	9	-63
2023-08-02 14:14:48.396283,123	-55	4797	-173	7	-61
2023-08-02 14:14:48.424283,126	-53	4798	-174	7	-63
2023-08-02 14:14:48.449283,125	-58	4797	-175	6	-63
2023-08-02 14:14:48.473288,127	-57	4801	-175	6	-62
2023-08-02 14:14:48.502834,123	-56	4798	-174	5	-62
2023-08-02 14:14:48.526831,124	-51	4803	-173	5	-64
2023-08-02 14:14:48.551829,122	-51	4802	-175	6	-63
2023-08-02 14:14:48.580409,121	-51	4805	-175	3	-64
2023-08-02 14:14:48.604426,124	-57	4802	-174	5	-63
2023-08-02 14:14:48.629404,126	-57	4803	-173	5	-64
2023-08-02 14:14:48.657409,124	-53	4803	-174	7	-62
2023-08-02 14:14:48.682210,125	-52	4803	-174	6	-62
2023-08-02 14:14:48.707343,124	-56	4803	-175	7	-63
2023-08-02 14:14:48.736210,126	-60	4801	-174	6	-64
2023-08-02 14:14:48.760290,126	-55	4801	-173	7	-63
2023-08-02 14:14:48.784789,125	-55	4796	-174	10	-64
2023-08-02 14:14:48.813644,125	-53	4800	-175	7	-63
2023-08-02 14:14:48.838644,120	-58	4799	-175	6	-63
2023-08-02 14:14:48.862944,124	-57	4800	-173	6	-63
2023-08-02 14:14:48.891544,130	-53	4806	-174	6	-65
2023-08-02 14:14:48.916444,130	-50	4804	-174	7	-62
2023-08-02 14:14:48.944587,123	-56	4801	-176	9	-64
2023-08-02 14:14:48.969627,120	-53	4802	-174	7	-64
2023-08-02 14:14:48.993838,124	-60	4799	-173	8	-62
