Timestamp,Data
2023-08-02 16:10:13.924349,-177	12	-73
2023-08-02 16:10:13.926452,78	-64	4789	-177	16	-73
2023-08-02 16:10:13.927341,82	-61	4787	-178	13	-74
2023-08-02 16:10:13.927341,76	-62	4780	-179	11	-76
2023-08-02 16:10:13.928350,76	-61	62	4785	-178	12	-75
2023-08-02 16:10:13.929344,80	-62	4785	-177	12	-73
2023-08-02 16:10:13.929344,78	-64	4789	-177	16	-73
2023-08-02 16:10:13.930344,82	-61	4787	-178	13	-74
2023-08-02 16:10:13.930344,76	-62	4780	-179	11	-76
2023-08-02 16:10:13.931345,76	-61	AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:10:13.931345,78	-69	4780	-179	12	-74
2023-08-02 16:10:13.932344,82	-66	4779	-177	11	-75
2023-08-02 16:10:13.938424,81	-64	4783	-179	10	-75
2023-08-02 16:10:13.963379,78	-66	4782	-180	11	-75
2023-08-02 16:10:13.991381,82	-66	4778	-179	10	-75
2023-08-02 16:10:14.016380,78	-68	4777	-179	12	-74
2023-08-02 16:10:14.040460,77	-67	4780	-178	12	-72
2023-08-02 16:10:14.069854,80	-64	4777	-179	13	-75
2023-08-02 16:10:14.094238,83	-63	4780	-178	13	-76
2023-08-02 16:10:14.119259,84	-61	4780	-178	13	-76
2023-08-02 16:10:14.147224,80	-63	4781	-179	12	-76
2023-08-02 16:10:14.171629,77	-59	4778	-179	12	-77
2023-08-02 16:10:14.196760,79	-62	4778	-179	13	-75
2023-08-02 16:10:14.224749,77	-65	4783	-178	11	-74
2023-08-02 16:10:14.249862,76	-66	4785	-179	11	-76
2023-08-02 16:10:14.274276,80	-66	4781	-179	15	-76
2023-08-02 16:10:14.303282,79	-66	4777	-178	14	-74
2023-08-02 16:10:14.327277,75	-65	4780	-178	12	-75
2023-08-02 16:10:14.352280,77	-61	4781	-179	13	-76
2023-08-02 16:10:14.380762,76	-61	4781	-179	11	-76
2023-08-02 16:10:14.405834,77	-62	4780	-179	13	-75
2023-08-02 16:10:14.429836,77	-62	4776	-178	12	-76
2023-08-02 16:10:14.458839,75	-65	4776	-179	12	-76
2023-08-02 16:10:14.483711,77	-63	4778	-180	12	-73
2023-08-02 16:10:14.507707,80	-61	4777	-180	13	-74
2023-08-02 16:10:14.536707,78	-61	4780	-180	14	-75
2023-08-02 16:10:14.561242,76	-63	4783	-179	12	-75
2023-08-02 16:10:14.585242,76	-64	4780	-178	12	-74
2023-08-02 16:10:14.614206,79	-62	4780	-177	14	-75
2023-08-02 16:10:14.638336,79	-60	4782	-178	13	-75
2023-08-02 16:10:14.663090,79	-64	4786	-178	13	-75
2023-08-02 16:10:14.692360,81	-68	4782	-179	13	-76
2023-08-02 16:10:14.717397,76	-67	4783	-177	15	-76
2023-08-02 16:10:14.741359,80	-59	4781	-177	14	-74
2023-08-02 16:10:14.770011,77	-63	4785	-179	14	-74
2023-08-02 16:10:14.794163,79	-62	4791	-178	11	-74
2023-08-02 16:10:14.819498,76	-65	4787	-178	12	-75
2023-08-02 16:10:14.847393,82	-63	4782	-178	11	-74
2023-08-02 16:10:14.872018,77	-64	4780	-179	11	-74
