Timestamp,Data
2023-08-02 16:15:08.452457,1AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:15:08.453459,87	-75	4793	-175	5	-66
2023-08-02 16:15:08.453459,96	-74	4791	-173	8	-70
2023-08-02 16:15:08.458581,81	-71	4799	-176	7	-68
2023-08-02 16:15:08.483207,83	-74	4795	-174	8	-68
2023-08-02 16:15:08.507090,97	-75	4796	-176	8	-65
2023-08-02 16:15:08.532095,86	-71	4799	-176	8	-65
2023-08-02 16:15:08.557200,91	-76	4794	-176	9	-67
2023-08-02 16:15:08.581779,86	-74	4791	-175	10	-67
2023-08-02 16:15:08.610007,91	-73	4791	-173	10	-66
2023-08-02 16:15:08.634780,85	-75	4788	-175	10	-67
2023-08-02 16:15:08.659708,87	-77	4784	-174	8	-68
2023-08-02 16:15:08.684327,87	-78	4791	-175	8	-68
2023-08-02 16:15:08.708312,88	-77	4789	-177	8	-67
2023-08-02 16:15:08.733327,89	-75	4790	-175	7	-67
2023-08-02 16:15:08.761157,89	-75	4795	-175	7	-67
2023-08-02 16:15:08.786309,86	-71	4796	-175	9	-67
2023-08-02 16:15:08.810318,86	-75	4799	-176	9	-68
2023-08-02 16:15:08.835435,88	-72	4795	-175	7	-67
2023-08-02 16:15:08.859456,88	-74	4795	-174	9	-65
2023-08-02 16:15:08.884738,91	-72	4791	-175	9	-67
2023-08-02 16:15:08.909597,91	-75	4787	-175	8	-68
2023-08-02 16:15:08.933669,88	-78	4789	-176	8	-68
2023-08-02 16:15:08.958750,87	-75	4788	-175	9	-68
2023-08-02 16:15:08.982411,87	-74	4790	-175	7	-68
2023-08-02 16:15:09.007328,84	-72	4795	-174	8	-68
2023-08-02 16:15:09.036335,88	-76	4801	-174	10	-68
2023-08-02 16:15:09.060340,90	-74	4796	-176	9	-69
2023-08-02 16:15:09.084930,90	-76	4798	-176	8	-68
2023-08-02 16:15:09.109845,87	-77	4793	-176	6	-66
2023-08-02 16:15:09.134232,86	-73	4786	-173	6	-66
2023-08-02 16:15:09.159664,86	-76	4789	-174	7	-66
2023-08-02 16:15:09.183183,89	-75	4789	-173	9	-68
2023-08-02 16:15:09.208179,86	-75	4789	-173	6	-67
2023-08-02 16:15:09.233181,86	-72	4791	-172	7	-66
2023-08-02 16:15:09.256836,84	-73	4793	-173	8	-66
2023-08-02 16:15:09.286159,87	-74	4798	-174	6	-66
2023-08-02 16:15:09.310124,87	-72	4797	-175	7	-67
2023-08-02 16:15:09.335272,87	-74	4797	-174	6	-67
2023-08-02 16:15:09.359644,89	-75	4795	-175	7	-65
2023-08-02 16:15:09.384383,86	-73	4795	-175	9	-65
2023-08-02 16:15:09.408515,87	-73	4790	-175	9	-65
2023-08-02 16:15:09.433645,87	-73	4796	-174	8	-66
2023-08-02 16:15:09.457800,83	-73	4793	-174	7	-66
2023-08-02 16:15:09.482339,86	-72	4794	-175	8	-66
2023-08-02 16:15:09.507344,87	-78	4796	-176	6	-65
2023-08-02 16:15:09.531477,83	-79	4795	-174	6	-69
2023-08-02 16:15:09.556508,82	-74	4793	-173	8	-68
2023-08-02 16:15:09.585014,87	-74	4788	-174	8	-69
2023-08-02 16:15:09.609006,88	-76	4790	-174	7	-68
2023-08-02 16:15:09.634009,85	-76	4786	-174	7	-65
2023-08-02 16:15:09.658600,85	-76	4784	-174	6	-66
2023-08-02 16:15:09.683108,88	-76	4784	-174	6	-65
2023-08-02 16:15:09.708118,89	-75	4791	-175	9	-66
2023-08-02 16:15:09.732143,90	-79	4792	-175	9	-67
2023-08-02 16:15:09.757119,91	-77	4788	-174	9	-68
2023-08-02 16:15:09.780891,88	-78	4791	-174	7	-66
2023-08-02 16:15:09.805871,84	-77	4790	-175	9	-67
2023-08-02 16:15:09.830940,81	-74	4791	-175	7	-67
2023-08-02 16:15:09.855071,84	-75	4793	-176	6	-68
2023-08-02 16:15:09.883774,87	-77	4791	-176	8	-69
2023-08-02 16:15:09.908758,87	-75	4795	-175	9	-67
2023-08-02 16:15:09.932779,85	-73	4792	-176	8	-68
2023-08-02 16:15:09.957844,87	-75	4792	-177	7	-69
2023-08-02 16:15:09.983032,83	-73	4792	-176	8	-67
2023-08-02 16:15:10.006989,86	-72	4794	-174	8	-67
2023-08-02 16:15:10.031150,88	-72	4795	-175	10	-66
2023-08-02 16:15:10.056133,88	-71	4796	-175	9	-68
2023-08-02 16:15:10.080723,87	-73	4790	-176	8	-68
2023-08-02 16:15:10.108642,87	-72	4787	-176	8	-68
2023-08-02 16:15:10.133771,85	-73	4788	-174	6	-68
2023-08-02 16:15:10.158748,85	-73	4791	-175	7	-67
2023-08-02 16:15:10.182597,85	-74	4790	-175	6	-67
2023-08-02 16:15:10.207567,88	-76	4788	-174	8	-69
2023-08-02 16:15:10.231458,89	-72	4785	-173	9	-68
2023-08-02 16:15:10.256522,86	-73	4789	-173	8	-67
2023-08-02 16:15:10.281291,87	-71	4786	-174	8	-67
2023-08-02 16:15:10.306148,90	-71	4788	-174	6	-65
2023-08-02 16:15:10.330234,88	-74	4791	-175	7	-66
2023-08-02 16:15:10.355277,90	-73	4793	-175	5	-68
2023-08-02 16:15:10.379098,85	-72	4796	-176	5	-68
2023-08-02 16:15:10.408055,88	-70	4791	-178	6	-67
2023-08-02 16:15:10.433084,87	-75	4790	-178	6	-66
2023-08-02 16:15:10.457111,85	-74	4790	-177	6	-68
2023-08-02 16:15:10.481544,87	-74	4780	-177	7	-68
2023-08-02 16:15:10.506414,86	-74	4785	-178	8	-69
2023-08-02 16:15:10.531411,84	-76	4790	-176	5	-69
2023-08-02 16:15:10.555609,82	-77	4786	-176	5	-68
2023-08-02 16:15:10.580450,89	-77	4795	-176	7	-68
2023-08-02 16:15:10.604401,86	-73	4793	-176	7	-67
2023-08-02 16:15:10.629446,84	-74	4791	-177	6	-68
2023-08-02 16:15:10.653415,89	-79	4797	-176	7	-66
2023-08-02 16:15:10.678832,86	-77	4793	-177	7	-66
2023-08-02 16:15:10.702835,88	-79	4792	-177	5	-66
2023-08-02 16:15:10.731910,88	-75	4794	-176	6	-66
2023-08-02 16:15:10.756840,86	-74	4797	-178	6	-68
2023-08-02 16:15:10.781133,89	-75	4788	-179	7	-69
2023-08-02 16:15:10.805129,86	-76	4790	-178	7	-67
2023-08-02 16:15:10.830266,89	-74	4788	-177	7	-65
2023-08-02 16:15:10.854323,90	-76	4792	-177	6	-66
2023-08-02 16:15:10.879153,89	-74	4797	-175	8	-66
2023-08-02 16:15:10.903318,87	-74	4787	-175	7	-66
2023-08-02 16:15:10.928474,86	-75	4794	-176	5	-67
2023-08-02 16:15:10.952355,90	-75	4791	-175	6	-68
2023-08-02 16:15:10.977089,89	-75	4792	-174	6	-67
