Timestamp,Data
2023-08-02 14:58:09.319137,84	14	-79
2023-08-02 14:58:09.320154,102	-	4777	-184	12	-81
2023-08-02 14:58:09.321664,109	-55	4777	-183	12	-82
2023-08-02 14:58:09.322672,105	-55	4779	-184	11	-82
2023-08-02 14:58:09.322672,109	-51	4781	-184	13	-80
2023-08-02 14:58:09.323676,105	-50	4783	-184	14	-79
2023-08-02 14:58:09.324671,102	-AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 14:58:09.325670,102	-53	4777	-184	14	-78
2023-08-02 14:58:09.325670,122	-49	4778	-185	14	-78
2023-08-02 14:58:09.326670,104	-50	4790	-184	14	-75
2023-08-02 14:58:09.353889,103	-47	4776	-186	13	-82
2023-08-02 14:58:09.378893,119	-52	4779	-184	15	-80
2023-08-02 14:58:09.407132,100	-49	4780	-185	12	-81
2023-08-02 14:58:09.435815,108	-52	4781	-185	14	-82
2023-08-02 14:58:09.460178,104	-53	4784	-185	12	-82
2023-08-02 14:58:09.488523,109	-52	4777	-185	13	-80
2023-08-02 14:58:09.513853,106	-47	4781	-184	14	-83
2023-08-02 14:58:09.542160,104	-52	4782	-183	13	-80
2023-08-02 14:58:09.567052,104	-52	4788	-183	14	-81
2023-08-02 14:58:09.595738,107	-49	4779	-183	11	-80
2023-08-02 14:58:09.624430,109	-52	4783	-185	13	-81
2023-08-02 14:58:09.648285,105	-49	4777	-185	15	-81
2023-08-02 14:58:09.677653,106	-51	4779	-185	15	-82
2023-08-02 14:58:09.702327,106	-52	4778	-185	13	-80
2023-08-02 14:58:09.731221,105	-54	4775	-186	14	-80
2023-08-02 14:58:09.759375,105	-54	4777	-185	14	-80
2023-08-02 14:58:09.783561,108	-53	4780	-185	13	-81
2023-08-02 14:58:09.812884,105	-50	4775	-185	12	-80
2023-08-02 14:58:09.837276,107	-51	4779	-186	11	-79
2023-08-02 14:58:09.865259,107	-50	4781	-187	12	-81
2023-08-02 14:58:09.894262,111	-52	4779	-187	12	-81
2023-08-02 14:58:09.918746,106	-51	4788	-186	12	-80
2023-08-02 14:58:09.948192,107	-52	4789	-185	12	-81
2023-08-02 14:58:09.972193,106	-49	4780	-185	12	-79
2023-08-02 14:58:10.001147,108	-48	4780	-186	13	-80
2023-08-02 14:58:10.025916,108	-47	4780	-185	13	-80
2023-08-02 14:58:10.053826,104	-50	4779	-184	14	-79
2023-08-02 14:58:10.083218,107	-51	4784	-184	14	-80
2023-08-02 14:58:10.107887,110	-55	4778	-186	15	-80
2023-08-02 14:58:10.136099,108	-50	4786	-186	12	-79
2023-08-02 14:58:10.161068,107	-49	4784	-184	11	-81
2023-08-02 14:58:10.189467,109	-50	4778	-184	13	-79
2023-08-02 14:58:10.217765,106	-50	4781	-183	12	-80
2023-08-02 14:58:10.242788,106	-47	4783	-184	12	-81
2023-08-02 14:58:10.271670,111	-46	4782	-185	11	-81
2023-08-02 14:58:10.295669,107	-52	4778	-185	10	-82
2023-08-02 14:58:10.324509,106	-58	4776	-185	11	-82
2023-08-02 14:58:10.353160,107	-52	4773	-185	10	-81
2023-08-02 14:58:10.378319,109	-50	4772	-185	10	-81
2023-08-02 14:58:10.406400,107	-51	4780	-186	10	-81
2023-08-02 14:58:10.431311,110	-48	4786	-186	9	-81
2023-08-02 14:58:10.459697,111	-46	4780	-185	11	-82
2023-08-02 14:58:10.483871,110	-52	4777	-185	12	-82
2023-08-02 14:58:10.512719,109	-48	4784	-185	13	-81
2023-08-02 14:58:10.537271,104	-50	4785	-185	14	-82
2023-08-02 14:58:10.566226,108	-48	4781	-184	12	-81
2023-08-02 14:58:10.594276,110	-49	4785	-184	12	-81
2023-08-02 14:58:10.619796,111	-50	4781	-184	11	-82
2023-08-02 14:58:10.647724,107	-52	4783	-184	10	-79
2023-08-02 14:58:10.672789,112	-50	4787	-185	11	-81
2023-08-02 14:58:10.701620,113	-49	4781	-184	10	-83
2023-08-02 14:58:10.725502,103	-64	4791	-181	9	-76
2023-08-02 14:58:10.754128,104	-42	4773	-183	11	-81
2023-08-02 14:58:10.778110,132	-35	4783	-186	11	-82
2023-08-02 14:58:10.807607,97	-58	4788	-188	16	-78
2023-08-02 14:58:10.832202,114	-55	4783	-188	13	-85
2023-08-02 14:58:10.861199,98	-56	4791	-184	11	-78
2023-08-02 14:58:10.886228,107	-50	4783	-184	9	-80
2023-08-02 14:58:10.910486,106	-52	4783	-185	9	-84
2023-08-02 14:58:10.938935,108	-55	4789	-182	9	-78
2023-08-02 14:58:10.963690,113	-51	4785	-184	12	-82
2023-08-02 14:58:10.991744,111	-47	4791	-185	14	-81
2023-08-02 14:58:11.020773,115	-52	4787	-184	13	-80
2023-08-02 14:58:11.045434,100	-50	4784	-186	15	-84
2023-08-02 14:58:11.074025,112	-49	4782	-183	14	-77
2023-08-02 14:58:11.099010,104	-50	4780	-185	14	-82
2023-08-02 14:58:11.127509,107	-48	4785	-185	15	-80
2023-08-02 14:58:11.152431,101	-55	4782	-184	14	-78
2023-08-02 14:58:11.179970,104	-54	4779	-185	12	-83
