Timestamp,Data
2023-07-27 11:20:51.863056,========================================
2023-07-27 11:20:51.864056,Calculating gyro offsets
2023-07-27 11:20:55.089385,DO NOT MOVE MPU6050...
2023-07-27 11:20:55.094288,Done!
2023-07-27 11:20:55.094288,X : -2.63
2023-07-27 11:20:55.095289,Y : -0.26
2023-07-27 11:20:55.095289,Z : -0.68
2023-07-27 11:20:55.098363,Program will start after 3 seconds
2023-07-27 11:20:58.099865,========================================
2023-07-27 11:20:58.100864,roll	pitch
2023-07-27 11:20:58.103864,-0.03	-0.10
2023-07-27 11:20:58.116865,-0.17	-0.29
2023-07-27 11:20:58.132960,-0.45	-0.40
2023-07-27 11:20:58.145485,-0.76	-0.32
2023-07-27 11:20:58.161591,-0.92	-0.40
2023-07-27 11:20:58.173501,-0.98	-0.11
2023-07-27 11:20:58.186200,-0.93	-0.16
2023-07-27 11:20:58.203405,-0.91	-0.19
2023-07-27 11:20:58.214406,-0.81	-0.32
2023-07-27 11:20:58.231483,-0.79	-0.27
2023-07-27 11:20:58.243790,-0.88	-0.17
2023-07-27 11:20:58.256031,-0.88	-0.14
2023-07-27 11:20:58.272031,-0.78	-0.18
2023-07-27 11:20:58.284029,-0.81	-0.18
2023-07-27 11:20:58.301037,-0.81	-0.14
2023-07-27 11:20:58.313130,-0.78	-0.19
2023-07-27 11:20:58.325113,-0.84	-0.18
2023-07-27 11:20:58.341662,-0.96	-0.06
2023-07-27 11:20:58.353632,-0.85	-0.04
2023-07-27 11:20:58.370727,-0.91	-0.15
2023-07-27 11:20:58.382753,-0.91	-0.12
2023-07-27 11:20:58.394793,-0.81	-0.19
2023-07-27 11:20:58.411678,-0.82	-0.05
2023-07-27 11:20:58.423640,-0.87	-0.15
2023-07-27 11:20:58.439644,-0.84	-0.09
2023-07-27 11:20:58.452788,-0.89	-0.10
2023-07-27 11:20:58.464890,-0.92	-0.05
2023-07-27 11:20:58.480957,-0.88	-0.12
2023-07-27 11:20:58.492912,-0.85	-0.07
2023-07-27 11:20:58.509805,-0.90	-0.00
2023-07-27 11:20:58.521823,-0.86	-0.01
2023-07-27 11:20:58.533845,-0.91	-0.16
2023-07-27 11:20:58.550944,-0.89	-0.10
2023-07-27 11:20:58.563112,-0.97	-0.01
2023-07-27 11:20:58.578968,-0.90	-0.07
2023-07-27 11:20:58.590974,-0.84	-0.10
2023-07-27 11:20:58.604027,-0.89	-0.04
2023-07-27 11:20:58.620030,-0.94	-0.04
2023-07-27 11:20:58.632984,-0.92	-0.06
2023-07-27 11:20:58.648637,-0.86	0.07
2023-07-27 11:20:58.661594,-0.95	-0.07
2023-07-27 11:20:58.673502,-0.93	-0.03
2023-07-27 11:20:58.689499,-0.93	-0.05
2023-07-27 11:20:58.702499,-0.96	-0.03
2023-07-27 11:20:58.718500,-0.88	0.09
2023-07-27 11:20:58.730689,-0.91	0.08
2023-07-27 11:20:58.743188,-0.93	-0.08
2023-07-27 11:20:58.759095,-0.90	-0.03
2023-07-27 11:20:58.772073,-0.98	0.07
2023-07-27 11:20:58.788077,-0.89	0.04
2023-07-27 11:20:58.800077,-0.94	0.12
2023-07-27 11:20:58.813072,-0.90	0.13
2023-07-27 11:20:58.829169,-0.92	0.11
