Timestamp,pitch,roll
02:09.2,-0.14,2.51
02:09.2,0.17,2.55
02:09.2,0.03,2.46
02:09.2,-0.03,2.67
02:09.2,0.13,2.93
02:09.2,0.16,2.72
02:09.2,-0.32,2.7
02:09.2,0.15,2.76
02:09.2,0.09,2.86
02:09.2,-0.15,2.8
02:09.2,0.1,2.73
02:09.2,-0.02,2.86
02:09.2,0.1,2.76
02:09.2,-0.02,2.79
02:09.2,0.13,2.76
02:09.2,0.31,2.73
02:09.2,0.01,2.91
02:09.2,0.08,2.5
02:09.3,-0.15,2.58
02:09.3,-0.05,2.51
02:09.3,0.18,2.47
02:09.3,0.14,2.75
02:09.3,0.12,2.53
02:09.3,0.14,2.45
02:09.3,-0.03,2.47
02:09.3,0.15,2.47
02:09.3,0.08,2.62
02:09.3,0.21,1.94
02:09.3,0.22,2.48
02:09.3,0.17,1.82
02:09.3,0.06,2.24
02:09.3,0.42,2.35
02:09.3,-0.09,1.89
02:09.3,0.3,2.2
02:09.3,0.05,2.14
02:09.3,0.24,2.26
02:09.3,0.31,1.94
02:09.3,0.16,1.84
02:09.3,0.2,2.1
02:09.3,-0.06,1.92
02:09.3,0.17,1.78
02:09.3,0.03,1.81
02:09.3,0.46,1.93
02:09.4,-0.23,1.81
02:09.4,0.29,1.84
02:09.4,0.26,1.79
02:09.4,0.06,1.51
02:09.4,0.17,1.68
02:09.4,0.23,1.61
02:09.4,0.02,1.61
02:09.4,0.12,1.6
02:09.4,0.12,1.42
02:09.4,0.08,1.63
02:09.4,-0.09,1.4
02:09.4,-0.03,1.44
02:09.4,0.06,1.49
02:09.4,-0.02,1.27
02:09.4,-0.08,1.15
02:09.4,-0.05,1.25
02:09.4,0.05,1.07
02:09.4,-0.2,1.17
02:09.4,-0.39,1.24
02:09.4,-0.03,0.94
02:09.4,-0.05,1.31
02:09.4,-0.1,0.89
02:09.4,-0.27,1.31
02:09.4,-0.33,1.05
02:09.5,-0.03,0.99
02:09.5,-0.12,1.23
02:09.5,-0.19,0.96
02:09.5,-0.34,1.06
02:09.5,-0.34,1.22
02:09.5,-0.48,1.28
02:09.5,-0.39,1.11
02:09.5,-0.53,1.08
02:09.5,-0.33,0.92
02:09.5,-0.24,0.99
02:09.5,-0.59,1.24
02:09.5,-0.49,0.97
02:09.5,-0.27,0.99
02:09.5,-0.7,1.08
02:09.5,-0.68,1.07
02:09.5,-0.69,0.62
02:09.5,-0.64,0.87
02:09.5,-0.92,0.8
02:09.5,-0.62,0.88
02:09.5,-0.86,1.1
02:09.5,-0.71,0.91
02:09.5,-0.57,1.07
02:09.5,-0.87,0.9
02:09.5,-0.69,0.83
02:09.5,-0.58,1.2
02:09.5,-0.44,0.99
02:09.6,-0.63,1.01
02:09.6,-0.94,1.21
02:09.6,-0.73,1.31
02:09.6,-0.84,1.06
02:09.6,-0.87,0.9
02:09.6,-0.88,1.06
02:09.6,-0.6,1
02:09.6,-0.88,1.13
02:09.6,-0.61,1.04
02:09.6,-0.66,1.36
02:09.6,-0.88,1.26
02:09.6,-0.75,1.15
02:09.6,-0.57,1.2
02:09.6,-0.8,1.32
02:09.6,-0.44,0.9
02:09.6,-0.8,1.06
02:09.6,-0.36,1.19
02:09.6,-0.85,1
02:09.6,-0.31,0.97
02:09.6,-0.69,1.09
02:09.6,-0.69,1.09
02:09.6,-0.5,1.48
02:09.6,-0.78,1.13
02:09.6,-0.53,1.2
02:09.7,-0.51,1.38
02:09.7,-0.51,1.43
02:09.7,-0.67,1.13
02:09.7,-0.69,1.42
02:09.7,-0.3,1.32
02:09.7,-0.27,1.26
02:09.7,-0.54,1.31
02:09.7,-0.66,1.43
02:09.7,-0.35,1.33
02:09.7,-0.3,1.42
02:09.7,-0.46,1.15
02:09.7,-0.51,1.27
02:09.7,-0.22,1.66
02:09.7,-0.37,1.19
02:09.7,-0.49,1.43
02:09.7,-0.1,1.56
02:09.7,-0.17,1.37
02:09.7,-0.29,1.51
02:09.7,0.08,1.57
02:09.7,-0.3,1.51
02:09.7,-0.1,1.61
02:09.7,-0.28,1.4
02:09.7,-0.25,1.65
02:09.7,-0.01,1.46
02:09.7,-0.17,1.35
02:09.7,-0.07,1.6
02:09.8,-0.1,1.84
02:09.8,-0.18,1.5
02:09.8,-0.32,1.5
02:09.8,0,1.43
02:09.8,0.05,1.69
02:09.8,-0.24,1.73
02:09.8,0.04,1.77
02:09.8,-0.3,1.43
02:09.8,-0.02,1.66
02:09.8,-0.09,1.76
02:09.8,0.01,1.68
02:09.8,0.05,1.59
02:09.8,0.21,1.34
02:09.8,0.06,1.51
02:09.8,0.06,1.58
02:09.8,0.05,1.95
02:09.8,0.13,1.87
02:09.8,-0.1,1.64
02:09.8,-0.17,1.58
02:09.8,0.13,1.78
02:09.8,0.21,1.58
02:09.8,0.13,1.7
02:09.8,0.02,1.47
02:09.8,-0.08,1.67
02:09.9,-0.04,1.59
