time,roll,pitch
52:15.7,6.31,3.54
52:15.7,16.86,8.85
52:15.7,31.65,16.28
52:15.7,40.56,20.77
52:15.7,42.82,22.03
52:15.7,42.08,21.61
52:15.8,40.24,20.48
52:15.8,38.04,19.36
52:15.8,35.96,18.4
52:15.8,34.47,17.61
52:15.8,33.45,17.06
52:15.8,32.65,16.63
52:15.8,31.98,16.4
52:15.9,31.4,16.15
52:15.9,30.76,15.64
52:15.9,30.3,15.39
52:15.9,29.74,14.98
52:15.9,29.22,14.68
52:15.9,28.72,14.39
52:15.9,28.07,14.04
52:16.0,27.63,13.72
52:16.0,27.02,13.44
52:16.0,26.42,13.11
52:16.0,25.89,12.89
52:16.0,25.15,12.56
52:16.0,24.49,12.21
52:16.0,24.04,12
52:16.1,24.11,11.83
52:16.1,23.96,11.52
52:16.1,23.55,11.25
52:16.1,23.07,11.05
52:16.1,22.58,10.86
52:16.1,22.21,10.62
52:16.1,21.71,10.4
52:16.2,21.2,10.2
52:16.2,20.7,10.07
52:16.2,20.3,9.86
52:16.2,19.91,9.66
52:16.2,19.48,9.51
52:16.2,19.04,9.36
52:16.2,18.67,9.25
52:16.2,18.47,8.97
52:16.3,18.17,8.67
52:16.3,17.75,8.54
52:16.3,17.43,8.37
52:16.3,17.28,8.06
52:16.3,17,7.95
52:16.3,16.71,7.7
52:16.3,16.31,7.6
52:16.4,15.9,7.34
52:16.4,15.58,7.21
52:16.4,15.26,6.98
52:16.4,15.15,6.9
52:16.4,14.96,6.63
52:16.4,14.62,6.52
52:16.4,14.17,6.38
52:16.5,13.93,6.24
52:16.5,13.75,6.11
52:16.5,13.53,5.95
52:16.5,13.15,5.63
52:16.5,12.98,5.56
52:16.5,12.77,5.43
52:16.5,12.52,5.29
52:16.6,12.28,5.28
52:16.6,12.07,5.08
52:16.6,11.85,4.99
52:16.6,11.67,4.95
52:16.6,11.36,4.76
52:16.6,11.12,4.64
52:16.6,10.89,4.54
52:16.7,10.64,4.38
52:16.7,10.47,4.24
52:16.7,10.25,4.19
52:16.7,10.09,4.03
52:16.7,9.97,3.95
52:16.7,9.71,3.81
52:16.7,9.61,3.69
52:16.8,9.4,3.69
52:16.8,9.09,3.52
52:16.8,8.73,3.38
52:16.8,8.22,3.28
52:16.8,7.68,3.21
52:16.8,7.54,3.14
52:16.8,7.59,3.01
52:16.8,7.84,2.85
52:16.9,8.34,2.74
52:16.9,8.87,2.74
52:16.9,8.92,2.64
52:16.9,8.49,2.61
52:16.9,7.92,2.56
52:16.9,7.5,2.48
52:16.9,7.2,2.46
52:17.0,7.04,2.36
52:17.0,6.97,2.38
52:17.0,6.8,2.35
52:17.0,6.56,2.29
52:17.0,6.43,2.23
52:17.0,6.26,2.11
52:17.0,6.06,2.03
52:17.1,5.97,1.98
52:17.1,5.89,1.93
52:17.1,5.89,1.85
52:17.1,5.86,1.87
52:17.1,5.7,1.79
52:17.1,5.66,1.72
52:17.1,5.72,1.61
52:17.2,5.77,1.58
52:17.2,5.69,1.58
52:17.2,5.46,1.54
52:17.2,5.15,1.42
52:17.2,5,1.39
52:17.2,4.94,1.33
52:17.2,5,1.36
52:17.3,4.96,1.14
52:17.3,4.95,1.18
52:17.3,4.73,1.27
52:17.3,4.57,1.26
52:17.3,4.52,1.22
52:17.3,4.43,1.11
52:17.3,4.21,1.01
52:17.4,4.01,0.98
52:17.4,3.78,1.03
52:17.4,3.7,1.1
52:17.4,4,0.91
52:17.4,4.34,0.77
52:17.4,4.64,0.84
52:17.4,4.53,0.83
52:17.4,4.12,0.83
52:17.5,3.75,0.78
52:17.5,3.59,0.72
52:17.5,3.72,0.61
52:17.5,3.8,0.52
52:17.5,3.6,0.54
52:17.5,3.43,0.48
52:17.5,3.38,0.45
52:17.6,3.42,0.36
52:17.6,3.61,0.4
52:17.6,3.62,0.44
52:17.6,3.44,0.31
52:17.6,3.19,0.25
52:17.6,3.18,0.16
52:17.6,3.17,0.2
