Timestamp,Data
2023-07-27 11:06:19.348006,.15	-0.85
2023-07-27 11:06:19.348006,-3.07	-0.83
2023-07-27 11:06:19.349001,-3.02	-0.86
2023-07-27 11:06:19.349001,-2.95	-0.82
2023-07-27 11:06:19.350001,-3.08	-0.87
2023-07-27 11:06:19.351002,-3.12	-0.84
2023-07-27 11:06:19.351002,-3.10	-0.89
2023-07-27 11:06:19.351998,-3.0	-073
2023-07-27 11:06:19.351998,-3.00	-0.82
2023-07-27 11:06:19.353000,-3.04	-0.95
2023-07-27 11:06:19.353000,-3.15	-0.85
2023-07-27 11:06:19.353999,-3.07	-0.83
2023-07-27 11:06:19.353999,-3.02	-0.86
2023-07-27 11:06:19.353999,-2.95	-0.82
2023-07-27 11:06:19.354998,-3.08	-0.87
2023-07-27 11:06:19.354998,-3.12	-0.84
2023-07-27 11:06:19.354998,-3.10	-0.89
2023-07-27 11:06:21.032439,-3.0	-0
2023-07-27 11:06:21.036441,========================================
2023-07-27 11:06:21.038056,Calculating gyro offsets
2023-07-27 11:06:24.264237,DO NOT MOVE MPU6050...
2023-07-27 11:06:24.268243,Done!
2023-07-27 11:06:24.269236,X : -2.60
2023-07-27 11:06:24.269236,Y : -0.30
2023-07-27 11:06:24.269236,Z : -0.61
2023-07-27 11:06:24.273236,Program will start after 3 seconds
2023-07-27 11:06:27.275276,========================================
2023-07-27 11:06:27.276179,roll	pitch
2023-07-27 11:06:27.279181,-0.20	0.17
2023-07-27 11:06:27.291179,-0.79	0.13
2023-07-27 11:06:27.307181,-2.24	0.29
2023-07-27 11:06:27.320185,-3.42	0.44
2023-07-27 11:06:27.336321,-3.83	0.45
2023-07-27 11:06:27.347926,-3.89	0.38
2023-07-27 11:06:27.360923,-3.77	0.16
2023-07-27 11:06:27.377022,-3.61	0.09
2023-07-27 11:06:27.389924,-3.55	0.21
2023-07-27 11:06:27.402003,-3.47	0.12
2023-07-27 11:06:27.418022,-3.39	0.17
2023-07-27 11:06:27.430015,-3.42	0.13
2023-07-27 11:06:27.447143,-3.39	0.05
2023-07-27 11:06:27.459138,-3.43	0.02
2023-07-27 11:06:27.471221,-3.46	0.03
2023-07-27 11:06:27.488137,-3.43	0.15
2023-07-27 11:06:27.500212,-3.44	0.14
2023-07-27 11:06:27.516144,-3.46	-0.03
2023-07-27 11:06:27.529138,-3.43	-0.09
2023-07-27 11:06:27.541155,-3.48	-0.18
2023-07-27 11:06:27.557860,-3.18	-0.04
2023-07-27 11:06:27.569958,-3.21	-0.05
2023-07-27 11:06:27.585863,-3.29	-0.01
2023-07-27 11:06:27.597861,-3.38	0.02
2023-07-27 11:06:27.610867,-3.53	-0.02
2023-07-27 11:06:27.627861,-3.38	-0.07
2023-07-27 11:06:27.638955,-3.30	-0.20
2023-07-27 11:06:27.655480,-3.24	-0.22
2023-07-27 11:06:27.668385,-3.33	-0.46
2023-07-27 11:06:27.684430,-3.30	-0.45
2023-07-27 11:06:27.696386,-3.37	-0.34
2023-07-27 11:06:27.709393,-3.20	-0.23
2023-07-27 11:06:27.725459,-3.26	-0.16
2023-07-27 11:06:27.737430,-3.25	0.00
2023-07-27 11:06:27.753937,-3.18	-0.02
2023-07-27 11:06:27.765936,-3.30	0.05
2023-07-27 11:06:27.778940,-3.41	0.13
2023-07-27 11:06:27.794935,-3.36	0.18
2023-07-27 11:06:27.806935,-3.36	-0.00
2023-07-27 11:06:27.819934,-3.36	-0.13
2023-07-27 11:06:27.836026,-3.22	-0.41
2023-07-27 11:06:27.848467,-3.13	-0.54
2023-07-27 11:06:27.864466,-3.17	-0.71
2023-07-27 11:06:27.876472,-3.26	-0.79
2023-07-27 11:06:27.893471,-3.32	-0.88
2023-07-27 11:06:27.905554,-3.23	-0.85
2023-07-27 11:06:27.917466,-3.18	-0.59
2023-07-27 11:06:27.934476,-3.22	-0.40
2023-07-27 11:06:27.946174,-3.26	-0.28
2023-07-27 11:06:27.962179,-3.23	-0.16
2023-07-27 11:06:27.975282,-3.17	-0.07
2023-07-27 11:06:27.987288,-3.28	-0.02
2023-07-27 11:06:28.003200,-3.30	-0.13
2023-07-27 11:06:28.016200,-3.29	-0.24
2023-07-27 11:06:28.032211,-3.28	-0.33
2023-07-27 11:06:28.044205,-3.20	-0.49
2023-07-27 11:06:28.057725,-3.33	-0.63
2023-07-27 11:06:28.073720,-3.23	-0.80
2023-07-27 11:06:28.085818,-3.10	-0.64
2023-07-27 11:06:28.101831,-3.06	-0.63
2023-07-27 11:06:28.114721,-3.19	-0.65
2023-07-27 11:06:28.126723,-3.27	-0.65
2023-07-27 11:06:28.142729,-3.20	-0.47
2023-07-27 11:06:28.155441,-3.27	-0.49
2023-07-27 11:06:28.171417,-3.27	-0.37
2023-07-27 11:06:28.184341,-3.31	-0.36
2023-07-27 11:06:28.196342,-3.21	-0.33
2023-07-27 11:06:28.212341,-3.24	-0.48
2023-07-27 11:06:28.225344,-3.18	-0.49
2023-07-27 11:06:28.241446,-3.09	-0.58
2023-07-27 11:06:28.253965,-3.15	-0.74
2023-07-27 11:06:28.266054,-3.17	-0.76
2023-07-27 11:06:28.282069,-3.22	-0.78
2023-07-27 11:06:28.294963,-3.23	-0.70
2023-07-27 11:06:28.311047,-3.28	-0.63
2023-07-27 11:06:28.323058,-3.25	-0.64
2023-07-27 11:06:28.335972,-3.25	-0.49
2023-07-27 11:06:28.352299,-3.19	-0.43
2023-07-27 11:06:28.364220,-3.18	-0.42
2023-07-27 11:06:28.380256,-3.30	-0.50
2023-07-27 11:06:28.393224,-3.10	-0.55
2023-07-27 11:06:28.405301,-3.03	-0.63
2023-07-27 11:06:28.421330,-3.12	-0.64
2023-07-27 11:06:28.434229,-3.22	-0.76
2023-07-27 11:06:28.450479,-3.24	-0.94
2023-07-27 11:06:28.462393,-3.19	-0.74
2023-07-27 11:06:28.474399,-3.22	-0.69
2023-07-27 11:06:28.491421,-3.33	-0.68
2023-07-27 11:06:28.503394,-3.25	-0.76
2023-07-27 11:06:28.519394,-3.11	-0.90
2023-07-27 11:06:28.532403,-2.92	-0.81
2023-07-27 11:06:28.544401,-3.03	-0.68
2023-07-27 11:06:28.560919,-3.18	-0.64
2023-07-27 11:06:28.573005,-3.16	-0.59
2023-07-27 11:06:28.589028,-3.10	-0.69
2023-07-27 11:06:28.602035,-3.26	-0.75
2023-07-27 11:06:28.613918,-3.21	-0.85
2023-07-27 11:06:28.629917,-3.18	-0.87
2023-07-27 11:06:28.642962,-3.21	-0.90
2023-07-27 11:06:28.658455,-3.30	-0.73
2023-07-27 11:06:28.671456,-3.30	-0.56
2023-07-27 11:06:28.683452,-3.23	-0.53
2023-07-27 11:06:28.700454,-3.13	-0.60
2023-07-27 11:06:28.712454,-3.07	-0.64
2023-07-27 11:06:28.728469,-3.10	-0.68
2023-07-27 11:06:28.740570,-3.16	-0.75
2023-07-27 11:06:28.753021,-3.09	-0.78
2023-07-27 11:06:28.770022,-3.17	-0.86
2023-07-27 11:06:28.782022,-3.16	-0.85
2023-07-27 11:06:28.798025,-3.13	-0.81
2023-07-27 11:06:28.811024,-3.08	-0.83
2023-07-27 11:06:28.823024,-3.09	-0.71
2023-07-27 11:06:28.839037,-3.09	-0.65
2023-07-27 11:06:28.851586,-3.24	-0.63
2023-07-27 11:06:28.867575,-3.29	-0.68
2023-07-27 11:06:28.880576,-3.22	-0.88
2023-07-27 11:06:28.892579,-3.19	-0.76
2023-07-27 11:06:28.908581,-3.11	-0.91
2023-07-27 11:06:28.921578,-3.06	-0.88
2023-07-27 11:06:28.937579,-3.10	-0.75
2023-07-27 11:06:28.950095,-3.14	-0.69
2023-07-27 11:06:28.962093,-3.09	-0.78
2023-07-27 11:06:28.979096,-3.18	-0.82
2023-07-27 11:06:28.991096,-3.19	-0.76
2023-07-27 11:06:29.007094,-3.20	-0.68
2023-07-27 11:06:29.019118,-3.20	-0.70
2023-07-27 11:06:29.032130,-3.17	-0.64
2023-07-27 11:06:29.047646,-3.18	-0.76
2023-07-27 11:06:29.060662,-3.08	-0.87
2023-07-27 11:06:29.076645,-3.10	-0.83
2023-07-27 11:06:29.089642,-3.11	-0.89
2023-07-27 11:06:29.101663,-3.11	-0.81
2023-07-27 11:06:29.117661,-3.17	-0.80
2023-07-27 11:06:29.129645,-3.23	-0.68
2023-07-27 11:06:29.146690,-3.17	-0.74
2023-07-27 11:06:29.159115,-3.02	-0.85
2023-07-27 11:06:29.171231,-3.13	-0.82
2023-07-27 11:06:29.187109,-3.13	-0.72
2023-07-27 11:06:29.200116,-3.10	-0.87
2023-07-27 11:06:29.216110,-3.17	-0.77
2023-07-27 11:06:29.229115,-3.17	-0.83
2023-07-27 11:06:29.241130,-3.22	-0.86
2023-07-27 11:06:29.256655,-3.16	-0.91
2023-07-27 11:06:29.269656,-3.17	-0.90
2023-07-27 11:06:29.285772,-3.10	-0.82
2023-07-27 11:06:29.297656,-3.06	-0.78
2023-07-27 11:06:29.310654,-3.19	-0.86
2023-07-27 11:06:29.326669,-3.13	-0.95
2023-07-27 11:06:29.338852,-3.21	-0.80
2023-07-27 11:06:29.355315,-3.24	-0.71
2023-07-27 11:06:29.367269,-3.21	-0.71
2023-07-27 11:06:29.380268,-3.10	-0.80
2023-07-27 11:06:29.396268,-3.13	-0.80
2023-07-27 11:06:29.408273,-3.16	-0.85
2023-07-27 11:06:29.425273,-3.13	-0.88
2023-07-27 11:06:29.437277,-3.05	-0.91
2023-07-27 11:06:29.449965,-3.08	-0.94
2023-07-27 11:06:29.465872,-3.08	-0.86
2023-07-27 11:06:29.478879,-3.07	-0.84
2023-07-27 11:06:29.494875,-3.17	-0.79
2023-07-27 11:06:29.506873,-3.32	-0.87
2023-07-27 11:06:29.518965,-3.30	-0.89
2023-07-27 11:06:29.535964,-3.09	-0.78
2023-07-27 11:06:29.547662,-3.06	-0.75
2023-07-27 11:06:29.564667,-3.14	-0.71
2023-07-27 11:06:29.576665,-3.14	-0.79
2023-07-27 11:06:29.588749,-3.11	-0.77
2023-07-27 11:06:29.605667,-3.19	-0.89
2023-07-27 11:06:29.617671,-3.21	-0.87
2023-07-27 11:06:29.633756,-3.21	-0.82
2023-07-27 11:06:29.645676,-3.11	-0.80
2023-07-27 11:06:29.658188,-3.06	-0.81
2023-07-27 11:06:29.675190,-3.21	-0.80
2023-07-27 11:06:29.687280,-3.15	-0.76
2023-07-27 11:06:29.703262,-3.13	-0.77
2023-07-27 11:06:29.716206,-3.18	-0.78
2023-07-27 11:06:29.728270,-3.16	-0.71
2023-07-27 11:06:29.744311,-3.13	-0.82
2023-07-27 11:06:29.756547,-2.99	-0.81
2023-07-27 11:06:29.772659,-3.18	-1.00
2023-07-27 11:06:29.785640,-3.19	-0.98
2023-07-27 11:06:29.797624,-3.10	-0.86
2023-07-27 11:06:29.814543,-3.14	-0.79
2023-07-27 11:06:29.826546,-3.15	-0.78
2023-07-27 11:06:29.842559,-3.25	-0.76
2023-07-27 11:06:29.854893,-3.17	-0.85
2023-07-27 11:06:29.867805,-3.04	-0.94
2023-07-27 11:06:29.883891,-3.08	-1.03
2023-07-27 11:06:29.895807,-3.16	-1.11
2023-07-27 11:06:29.911897,-3.16	-0.98
2023-07-27 11:06:29.924807,-3.10	-0.86
2023-07-27 11:06:29.940930,-3.19	-0.81
2023-07-27 11:06:29.953707,-3.19	-0.71
2023-07-27 11:06:29.965701,-3.06	-0.72
2023-07-27 11:06:29.981622,-3.06	-0.69
2023-07-27 11:06:29.994620,-3.14	-0.77
2023-07-27 11:06:30.010618,-3.21	-0.67
2023-07-27 11:06:30.022619,-3.25	-0.66
2023-07-27 11:06:30.035711,-3.24	-0.76
2023-07-27 11:06:30.052034,-3.10	-0.92
2023-07-27 11:06:30.064035,-3.22	-0.91
2023-07-27 11:06:30.080036,-3.20	-0.97
2023-07-27 11:06:30.093035,-3.12	-0.76
2023-07-27 11:06:30.105127,-3.12	-0.55
2023-07-27 11:06:30.121136,-3.16	-0.66
2023-07-27 11:06:30.134117,-2.89	-0.58
2023-07-27 11:06:30.149894,-2.99	-0.55
2023-07-27 11:06:30.162806,-3.16	-0.40
2023-07-27 11:06:30.174808,-3.09	-0.45
2023-07-27 11:06:30.190811,-2.81	-0.27
2023-07-27 11:06:30.202884,-2.74	-0.07
2023-07-27 11:06:30.219911,-3.19	-0.16
2023-07-27 11:06:30.231898,-3.78	-0.54
2023-07-27 11:06:30.243899,-3.75	-1.07
2023-07-27 11:06:30.260558,-3.23	-1.84
2023-07-27 11:06:30.272488,-2.79	-2.43
2023-07-27 11:06:30.288589,-2.73	-2.85
2023-07-27 11:06:30.301568,-3.17	-2.98
