Timestamp,Data
2023-07-27 11:46:19.908833,.15
2023-07-27 11:46:19.909831,0.50	-1.01
2023-07-27 11:46:19.910825,0.56	-1.10
2023-07-27 11:46:19.911830,0.53	-1.04
2023-07-27 11:46:19.911830,0.49	-1.15
2023-07-27 11:46:19.912821,0.51	-1.12
2023-07-27 11:46:19.912821,0.64	-1.13
2023-07-27 11:46:19.913817,0.54	-0.99
2023-07-27 11:46:19.913817,0.36	-0.94
2023-07-27 11:46:19.914815,0.39	-0.83
2023-07-27 11:46:21.592156,========================================
2023-07-27 11:46:21.596148,Calculating gyro offsets
2023-07-27 11:46:24.822897,DO NOT MOVE MPU6050...
2023-07-27 11:46:24.823850,Done!
2023-07-27 11:46:24.823850,X : -2.63
2023-07-27 11:46:24.827798,Y : -0.30
2023-07-27 11:46:24.827798,Z : -0.75
2023-07-27 11:46:24.831799,Program will start after 3 seconds
2023-07-27 11:46:27.833739,========================================
2023-07-27 11:46:27.834624,roll	pitch
2023-07-27 11:46:27.837687,0.65	2.20
2023-07-27 11:46:27.849780,1.45	4.88
2023-07-27 11:46:27.861640,2.81	8.10
2023-07-27 11:46:27.878736,3.67	9.88
2023-07-27 11:46:27.890602,3.88	10.12
2023-07-27 11:46:27.906981,3.82	9.62
2023-07-27 11:46:27.919983,3.67	8.99
2023-07-27 11:46:27.932065,3.48	8.28
2023-07-27 11:46:27.948099,3.16	7.85
2023-07-27 11:46:27.960129,2.96	7.74
2023-07-27 11:46:27.976218,2.89	7.81
2023-07-27 11:46:27.989280,2.92	7.83
2023-07-27 11:46:28.001919,2.97	7.92
2023-07-27 11:46:28.017957,3.05	7.97
2023-07-27 11:46:28.030021,2.98	8.05
2023-07-27 11:46:28.045917,2.85	8.01
2023-07-27 11:46:28.058926,2.73	7.97
2023-07-27 11:46:28.070922,2.76	7.73
2023-07-27 11:46:28.086996,2.75	7.55
2023-07-27 11:46:28.099240,2.72	7.19
2023-07-27 11:46:28.116235,2.64	6.83
2023-07-27 11:46:28.128237,2.60	6.42
2023-07-27 11:46:28.140241,2.66	6.18
2023-07-27 11:46:28.157240,2.56	5.85
2023-07-27 11:46:28.169240,2.57	5.65
2023-07-27 11:46:28.185246,2.45	5.58
2023-07-27 11:46:28.197446,2.44	5.36
2023-07-27 11:46:28.210447,2.41	5.43
2023-07-27 11:46:28.226452,2.43	5.31
2023-07-27 11:46:28.239446,2.34	5.13
2023-07-27 11:46:28.255445,2.39	5.13
2023-07-27 11:46:28.267534,2.29	4.97
2023-07-27 11:46:28.279445,2.20	4.81
2023-07-27 11:46:28.296620,2.13	4.50
2023-07-27 11:46:28.308633,2.13	4.42
2023-07-27 11:46:28.324621,2.21	4.26
2023-07-27 11:46:28.336614,2.29	4.07
2023-07-27 11:46:28.349618,2.20	4.04
2023-07-27 11:46:28.365614,2.18	3.94
2023-07-27 11:46:28.378620,2.07	3.96
2023-07-27 11:46:28.394723,1.94	4.02
2023-07-27 11:46:28.406330,1.96	3.95
2023-07-27 11:46:28.419361,1.97	3.90
2023-07-27 11:46:28.435415,1.95	4.03
2023-07-27 11:46:28.447467,1.98	4.01
2023-07-27 11:46:28.464343,1.97	3.81
