Timestamp,Data
2023-07-27 12:11:00.157003,========================================
2023-07-27 12:11:00.161040,Calculating gyro offsets
2023-07-27 12:11:03.388442,DO NOT MOVE MPU6050...
2023-07-27 12:11:03.388442,Done!
2023-07-27 12:11:03.389448,X : -2.61
2023-07-27 12:11:03.389448,Y : -0.01
2023-07-27 12:11:03.390438,Z : -1.23
2023-07-27 12:11:03.392433,Program will start after 3 seconds
2023-07-27 12:11:06.394375,========================================
2023-07-27 12:11:06.396236,roll	pitch
2023-07-27 12:11:06.398231,-0.08	-0.02
2023-07-27 12:11:06.414322,-0.33	-0.22
2023-07-27 12:11:06.427228,-0.44	-0.81
2023-07-27 12:11:06.439227,-0.46	-1.10
2023-07-27 12:11:06.456228,-0.50	-1.25
2023-07-27 12:11:06.468233,-0.52	-1.28
2023-07-27 12:11:06.485260,-0.28	-1.39
2023-07-27 12:11:06.496805,-0.28	-1.36
2023-07-27 12:11:06.508833,-0.53	-1.29
2023-07-27 12:11:06.525890,-0.47	-1.08
2023-07-27 12:11:06.537809,-0.22	-1.06
2023-07-27 12:11:06.553836,-0.39	-1.09
2023-07-27 12:11:06.566911,-0.40	-1.04
2023-07-27 12:11:06.578966,-0.17	-0.95
2023-07-27 12:11:06.594781,-0.26	-1.08
2023-07-27 12:11:06.607646,-0.45	-1.00
2023-07-27 12:11:06.623646,-0.52	-1.07
2023-07-27 12:11:06.635644,-0.56	-0.98
2023-07-27 12:11:06.648652,-0.47	-1.02
2023-07-27 12:11:06.664646,-0.39	-1.05
2023-07-27 12:11:06.676783,-0.27	-0.97
2023-07-27 12:11:06.692794,-0.22	-1.04
2023-07-27 12:11:06.706195,-0.29	-1.06
2023-07-27 12:11:06.718192,-0.39	-1.05
2023-07-27 12:11:06.734194,-0.43	-1.18
2023-07-27 12:11:06.747195,-0.57	-0.99
2023-07-27 12:11:06.763297,-0.72	-0.92
2023-07-27 12:11:06.775352,-0.56	-0.88
2023-07-27 12:11:06.787316,-0.36	-0.84
2023-07-27 12:11:06.803974,-0.39	-0.93
2023-07-27 12:11:06.816971,-0.44	-1.01
2023-07-27 12:11:06.832970,-0.38	-0.92
2023-07-27 12:11:06.845115,-0.34	-0.86
2023-07-27 12:11:06.856973,-0.48	-0.92
2023-07-27 12:11:06.874012,-0.49	-0.88
2023-07-27 12:11:06.886191,-0.50	-0.85
2023-07-27 12:11:06.902410,-0.42	-0.80
2023-07-27 12:11:06.914508,-0.41	-0.97
2023-07-27 12:11:06.927409,-0.40	-0.91
2023-07-27 12:11:06.943492,-0.48	-0.87
2023-07-27 12:11:06.955415,-0.57	-0.99
2023-07-27 12:11:06.971411,-0.52	-1.03
2023-07-27 12:11:06.984530,-0.31	-0.99
2023-07-27 12:11:06.996494,-0.46	-0.81
2023-07-27 12:11:07.013369,-0.73	-0.76
2023-07-27 12:11:07.025571,-0.50	-0.70
2023-07-27 12:11:07.041841,-0.34	-0.86
2023-07-27 12:11:07.053731,-0.45	-1.00
2023-07-27 12:11:07.065733,-0.55	-0.99
2023-07-27 12:11:07.082885,-0.54	-0.95
2023-07-27 12:11:07.094844,-0.61	-0.83
2023-07-27 12:11:07.110843,-0.58	-0.83
2023-07-27 12:11:07.123931,-0.53	-0.64
2023-07-27 12:11:07.135876,-0.40	-0.70
2023-07-27 12:11:07.151987,-0.38	-0.74
2023-07-27 12:11:07.163932,-0.49	-0.90
2023-07-27 12:11:07.181124,-0.45	-0.97
2023-07-27 12:11:07.193601,-0.47	-0.85
2023-07-27 12:11:07.205690,-0.51	-0.76
2023-07-27 12:11:07.221609,-0.55	-0.86
2023-07-27 12:11:07.233624,-0.54	-0.57
2023-07-27 12:11:07.250614,-0.69	-0.78
2023-07-27 12:11:07.262682,-0.59	-0.80
2023-07-27 12:11:07.278728,-0.53	-0.71
2023-07-27 12:11:07.291804,-0.63	-0.73
2023-07-27 12:11:07.303260,-0.64	-0.79
2023-07-27 12:11:07.320275,-0.45	-0.83
2023-07-27 12:11:07.332265,-0.38	-0.71
2023-07-27 12:11:07.348521,-0.42	-0.73
2023-07-27 12:11:07.361518,-0.48	-0.72
2023-07-27 12:11:07.373621,-0.50	-0.74
2023-07-27 12:11:07.389752,-0.54	-0.79
2023-07-27 12:11:07.401976,-0.59	-0.77
2023-07-27 12:11:07.418011,-0.58	-0.86
2023-07-27 12:11:07.431080,-0.62	-0.71
2023-07-27 12:11:07.443099,-0.57	-0.61
2023-07-27 12:11:07.459140,-0.60	-0.73
2023-07-27 12:11:07.471975,-0.52	-0.94
2023-07-27 12:11:07.487982,-0.50	-0.71
2023-07-27 12:11:07.500584,-0.75	-0.69
2023-07-27 12:11:07.512744,-0.63	-0.70
2023-07-27 12:11:07.528705,-0.36	-0.56
2023-07-27 12:11:07.541584,-0.42	-0.60
2023-07-27 12:11:07.557609,-0.56	-0.67
2023-07-27 12:11:07.569584,-0.58	-0.79
2023-07-27 12:11:07.582621,-0.53	-0.83
2023-07-27 12:11:07.598352,-0.61	-0.75
2023-07-27 12:11:07.611347,-0.64	-0.67
2023-07-27 12:11:07.627487,-0.63	-0.66
2023-07-27 12:11:07.639460,-0.58	-0.58
2023-07-27 12:11:07.651455,-0.57	-0.61
2023-07-27 12:11:07.668354,-0.42	-0.60
2023-07-27 12:11:07.680496,-0.38	-0.75
2023-07-27 12:11:07.697026,-0.38	-0.78
2023-07-27 12:11:07.709030,-0.57	-0.81
2023-07-27 12:11:07.721873,-0.80	-0.79
2023-07-27 12:11:07.737887,-0.90	-0.72
2023-07-27 12:11:07.749878,-0.78	-0.54
2023-07-27 12:11:07.766898,-0.78	-0.50
2023-07-27 12:11:07.779006,-0.68	-0.44
2023-07-27 12:11:07.790901,-0.48	-0.63
2023-07-27 12:11:07.807901,-0.43	-0.77
2023-07-27 12:11:07.819902,-0.43	-0.91
2023-07-27 12:11:07.836005,-0.38	-0.81
2023-07-27 12:11:07.848005,-0.54	-0.74
2023-07-27 12:11:07.860321,-0.62	-0.73
2023-07-27 12:11:07.877435,-0.62	-0.71
2023-07-27 12:11:07.889504,-0.51	-0.52
2023-07-27 12:11:07.906131,-0.48	-0.56
2023-07-27 12:11:07.918129,-0.56	-0.50
2023-07-27 12:11:07.930034,-0.69	-0.65
2023-07-27 12:11:07.947067,-0.69	-0.73
2023-07-27 12:11:07.959034,-0.65	-0.75
2023-07-27 12:11:07.975147,-0.60	-0.72
2023-07-27 12:11:07.988051,-0.41	-0.66
2023-07-27 12:11:08.000290,-0.43	-0.60
2023-07-27 12:11:08.016204,-0.47	-0.52
2023-07-27 12:11:08.029198,-0.60	-0.45
2023-07-27 12:11:08.045222,-0.70	-0.55
2023-07-27 12:11:08.057216,-0.74	-0.59
2023-07-27 12:11:08.069198,-0.76	-0.82
2023-07-27 12:11:08.086338,-0.73	-0.82
2023-07-27 12:11:08.098099,-0.65	-0.70
2023-07-27 12:11:08.115046,-0.55	-0.57
2023-07-27 12:11:08.127013,-0.51	-0.51
2023-07-27 12:11:08.139043,-0.46	-0.47
2023-07-27 12:11:08.155936,-0.57	-0.44
2023-07-27 12:11:08.168193,-0.56	-0.51
2023-07-27 12:11:08.184245,-0.63	-0.67
2023-07-27 12:11:08.196344,-0.69	-0.70
2023-07-27 12:11:08.209345,-0.70	-0.71
2023-07-27 12:11:08.225363,-0.71	-0.69
2023-07-27 12:11:08.237343,-0.66	-0.68
2023-07-27 12:11:08.253344,-0.64	-0.60
2023-07-27 12:11:08.266346,-0.61	-0.71
2023-07-27 12:11:08.282507,-0.57	-0.62
2023-07-27 12:11:08.294521,-0.50	-0.54
2023-07-27 12:11:08.306796,-0.52	-0.51
2023-07-27 12:11:08.323868,-0.62	-0.58
2023-07-27 12:11:08.335870,-0.65	-0.64
2023-07-27 12:11:08.351871,-0.79	-0.67
2023-07-27 12:11:08.364870,-0.69	-0.61
2023-07-27 12:11:08.377353,-0.65	-0.65
2023-07-27 12:11:08.393587,-0.61	-0.47
2023-07-27 12:11:08.405671,-0.50	-0.53
2023-07-27 12:11:08.421663,-0.59	-0.61
2023-07-27 12:11:08.433667,-0.54	-0.64
2023-07-27 12:11:08.446664,-0.64	-0.74
2023-07-27 12:11:08.462666,-0.65	-0.63
2023-07-27 12:11:08.475699,-0.68	-0.58
2023-07-27 12:11:08.491834,-0.68	-0.53
2023-07-27 12:11:08.503477,-0.71	-0.55
2023-07-27 12:11:08.516477,-0.58	-0.55
2023-07-27 12:11:08.532489,-0.58	-0.62
2023-07-27 12:11:08.544488,-0.54	-0.56
2023-07-27 12:11:08.560488,-0.49	-0.68
2023-07-27 12:11:08.573464,-0.54	-0.71
2023-07-27 12:11:08.585471,-0.61	-0.59
2023-07-27 12:11:08.601936,-0.66	-0.57
2023-07-27 12:11:08.614137,-0.66	-0.55
2023-07-27 12:11:08.630241,-0.63	-0.59
2023-07-27 12:11:08.643234,-0.74	-0.60
2023-07-27 12:11:08.655279,-0.66	-0.64
2023-07-27 12:11:08.671138,-0.75	-0.60
2023-07-27 12:11:08.684206,-0.55	-0.60
2023-07-27 12:11:08.699880,-0.60	-0.57
2023-07-27 12:11:08.712978,-0.41	-0.61
2023-07-27 12:11:08.724978,-0.64	-0.66
2023-07-27 12:11:08.741028,-0.49	-0.55
2023-07-27 12:11:08.752998,-0.53	-0.40
2023-07-27 12:11:08.769486,-0.67	-0.48
2023-07-27 12:11:08.782613,-0.80	-0.61
2023-07-27 12:11:08.794670,-0.79	-0.70
2023-07-27 12:11:08.811269,-0.71	-0.61
2023-07-27 12:11:08.823486,-0.59	-0.68
2023-07-27 12:11:08.839832,-0.59	-0.57
2023-07-27 12:11:08.851932,-0.55	-0.61
2023-07-27 12:11:08.863945,-0.50	-0.60
2023-07-27 12:11:08.880172,-0.58	-0.62
2023-07-27 12:11:08.893250,-0.69	-0.54
2023-07-27 12:11:08.910475,-0.63	-0.61
2023-07-27 12:11:08.921491,-0.68	-0.65
2023-07-27 12:11:08.933711,-0.66	-0.43
2023-07-27 12:11:08.950705,-0.69	-0.46
2023-07-27 12:11:08.962818,-0.66	-0.56
2023-07-27 12:11:08.978858,-0.65	-0.61
2023-07-27 12:11:08.991721,-0.64	-0.58
2023-07-27 12:11:09.003304,-0.70	-0.61
2023-07-27 12:11:09.020302,-0.58	-0.57
2023-07-27 12:11:09.032306,-0.57	-0.69
2023-07-27 12:11:09.048889,-0.52	-0.54
2023-07-27 12:11:09.060955,-0.57	-0.59
2023-07-27 12:11:09.076971,-0.73	-0.59
2023-07-27 12:11:09.089869,-0.74	-0.66
2023-07-27 12:11:09.101708,-0.68	-0.67
2023-07-27 12:11:09.117775,-0.70	-0.61
2023-07-27 12:11:09.130693,-0.61	-0.52
2023-07-27 12:11:09.146853,-0.63	-0.78
2023-07-27 12:11:09.159084,-0.55	-0.61
2023-07-27 12:11:09.171027,-0.47	-0.70
2023-07-27 12:11:09.188013,-0.68	-0.52
2023-07-27 12:11:09.199657,-0.64	-0.58
2023-07-27 12:11:09.216563,-0.65	-0.53
2023-07-27 12:11:09.228968,-0.62	-0.49
2023-07-27 12:11:09.241238,-0.65	-0.58
2023-07-27 12:11:09.257375,-0.69	-0.63
2023-07-27 12:11:09.269267,-0.63	-0.63
2023-07-27 12:11:09.285402,-0.61	-0.67
2023-07-27 12:11:09.298552,-0.68	-0.67
2023-07-27 12:11:09.310747,-0.65	-0.66
2023-07-27 12:11:09.327756,-0.62	-0.69
2023-07-27 12:11:09.339755,-0.68	-0.65
2023-07-27 12:11:09.355784,-0.61	-0.61
2023-07-27 12:11:09.367760,-0.67	-0.61
2023-07-27 12:11:09.379931,-0.73	-0.58
2023-07-27 12:11:09.396915,-0.68	-0.68
2023-07-27 12:11:09.409122,-0.79	-0.64
2023-07-27 12:11:09.425113,-0.79	-0.63
2023-07-27 12:11:09.437117,-0.80	-0.56
2023-07-27 12:11:09.450194,-0.43	-0.55
2023-07-27 12:11:09.466225,-0.58	-0.43
2023-07-27 12:11:09.478120,-0.63	-0.54
2023-07-27 12:11:09.495272,-0.72	-0.60
2023-07-27 12:11:09.506785,-0.58	-0.56
2023-07-27 12:11:09.519904,-0.45	-0.51
2023-07-27 12:11:09.536141,-0.47	-0.52
2023-07-27 12:11:09.548216,-0.80	-0.53
2023-07-27 12:11:09.564144,-0.86	-0.64
2023-07-27 12:11:09.577222,-0.68	-0.63
2023-07-27 12:11:09.589170,-0.58	-0.63
2023-07-27 12:11:09.605732,-0.63	-0.67
2023-07-27 12:11:09.617710,-0.60	-0.56
2023-07-27 12:11:09.633813,-0.68	-0.68
